question_ID,worker_ID,answer
0,192,Belgium
0,205,Belgium
0,54,Belgium
0,29,Belgium
0,179,Belgium
0,82,Belgium
0,173,Belgium
0,4,Belgium
0,129,Belgium
0,166,Belgium
0,20,Belgium
0,131,Belgium
0,61,Belgium
0,41,Belgium
0,180,Belgium
0,3,Belgium
0,178,Belgium
0,208,Belgium
0,108,Belgium
0,80,Belgium
1,192,Costa rica
1,205,Costa rica
1,54,Costa rica
1,29,Costa rica
1,179,Costa rica
1,82,Costa rica
1,173,Costa rica
1,4,Costa rica
1,129,Costa rica
1,166,Costa rica
1,131,Costa rica
1,61,Costa rica
1,180,Costa rica
1,3,Costa rica
1,178,Costa rica
1,208,Costa rica
1,108,Costa rica
1,80,Costa rica
2,192,Denmark
2,205,Denmark
2,54,Switzerland
2,29,Denmark
2,179,Denmark
2,82,Denmark
2,173,Denmark
2,4,Denmark
2,166,Denmark
2,20,Denmark
2,131,Denmark
2,61,Denmark
2,41,Denmark
2,180,Denmark
2,3,Denmark
2,178,Denmark
2,208,Denmark
2,108,Denmark
2,80,Denmark
3,192,Haiti
3,205,Haiti
3,54,Haiti
3,29,Haiti
3,179,Haiti
3,82,Haiti
3,173,Haiti
3,4,Haiti
3,129,Haiti
3,166,Haiti
3,20,Haiti
3,131,Haiti
3,61,Haiti
3,41,Haiti
3,180,Haiti
3,3,Haiti
3,208,Haiti
3,108,Haiti
3,80,Haiti
4,192,Hungary
4,116,Hungary
4,19,Hungary
4,54,Hungary
4,29,Hungary
4,40,Hungary
4,18,Hungary
4,37,Hungary
4,62,Hungary
4,153,Hungary
4,20,Hungary
4,131,Hungary
4,49,Hungary
4,94,Hungary
4,61,Hungary
4,56,Hungary
4,67,Hungary
4,31,Hungary
4,182,Hungary
4,21,Hungary
4,162,Hungary
5,192,Indonesia
5,116,Indonesia
5,19,Indonesia
5,40,Indonesia
5,18,Indonesia
5,153,Indonesia
5,131,Indonesia
5,94,Monaco
5,61,Indonesia
5,67,Indonesia
5,182,Indonesia
5,160,Indonesia
5,8,Indonesia
5,116,Indonesia
5,117,Indonesia
5,122,Indonesia
5,91,Indonesia
5,183,Indonesia
6,192,Ivory coast
6,116,Ireland
6,19,Ivory coast
6,54,Ivory coast
6,29,Ireland
6,40,Ireland
6,18,Ireland
6,37,Ireland
6,62,Ireland
6,153,Ivory coast
6,20,Ireland
6,131,Ireland
6,49,Ireland
6,94,Ivory coast
6,61,Ireland
6,56,Ivory coast
6,67,Ivory coast
6,31,Ivory coast
6,182,Ireland
6,21,Ireland
6,172,Ireland
7,19,Moldova
7,29,Moldova
7,18,Moldova
7,37,Moldova
7,62,Moldova
7,153,Moldova
7,20,Moldova
7,131,Moldova
7,94,Moldova
7,61,Moldova
7,56,Moldova
7,67,Moldova
7,182,Moldova
8,179,New zealand
8,87,New zealand
8,150,New zealand
8,42,New zealand
8,82,New zealand
8,116,New zealand
8,161,New zealand
8,205,New zealand
8,109,Australia
8,192,New zealand
8,20,New zealand
8,131,New zealand
8,71,New zealand
8,49,New zealand
8,41,New zealand
8,14,New zealand
8,199,New zealand
8,219,New zealand
8,191,New zealand
8,139,New zealand
8,50,New zealand
8,126,New zealand
9,179,Norway
9,87,Norway
9,150,Norway
9,42,Norway
9,82,Norway
9,116,Norway
9,161,Norway
9,205,Norway
9,109,Norway
9,192,Norway
9,20,Norway
9,131,Norway
9,71,Norway
9,49,Norway
9,41,Norway
9,14,Norway
9,199,Norway
9,219,Norway
9,144,Norway
9,191,United states
10,179,Paraguay
10,87,Paraguay
10,150,Paraguay
10,42,Paraguay
10,82,Paraguay
10,116,Paraguay
10,161,Paraguay
10,205,Paraguay
10,109,Croatia
10,192,Paraguay
10,20,Paraguay
10,131,Paraguay
10,71,Paraguay
10,49,Paraguay
10,41,Paraguay
10,14,Paraguay
10,199,Paraguay
10,219,Paraguay
10,144,Paraguay
10,191,Paraguay
11,179,Senegal
11,87,Senegal
11,150,Senegal
11,42,Senegal
11,82,Senegal
11,116,Senegal
11,161,Senegal
11,205,Senegal
11,109,Mali
11,192,Senegal
11,20,Senegal
11,131,Senegal
11,71,Senegal
11,49,Senegal
11,41,Senegal
11,14,Senegal
11,199,Senegal
11,219,Senegal
11,144,Senegal
11,191,Senegal
11,139,Senegal
11,216,Senegal
11,91,Senegal
12,179,Slovenia
12,82,Slovenia
12,114,Slovenia
12,150,Slovenia
12,173,Slovenia
12,42,Slovenia
12,56,Slovenia
12,66,Slovenia
12,182,Slovenia
12,126,Slovenia
12,49,Slovenia
12,33,Slovenia
12,72,Slovenia
12,71,Slovenia
12,207,Slovenia
12,76,Slovenia
12,120,Slovenia
12,60,Slovenia
12,175,Slovenia
12,213,Slovenia
13,179,Azerbaijan
13,82,Azerbaijan
13,114,Azerbaijan
13,150,Azerbaijan
13,173,Azerbaijan
13,42,Azerbaijan
13,56,Azerbaijan
13,66,Azerbaijan
13,182,Azerbaijan
13,126,Azerbaijan
13,49,Azerbaijan
13,33,Azerbaijan
13,72,Azerbaijan
13,71,Azerbaijan
13,207,Azerbaijan
13,76,Azerbaijan
13,120,Azerbaijan
13,60,Azerbaijan
13,175,Azerbaijan
13,213,Azerbaijan
14,179,Malta
14,82,Malta
14,114,Malta
14,150,Malta
14,173,Malta
14,42,Malta
14,56,Malta
14,66,Malta
14,182,Malta
14,126,Malta
14,49,Malta
14,33,Malta
14,72,Malta
14,71,Malta
14,207,Malta
14,76,Malta
14,120,Malta
14,60,Malta
14,175,Malta
14,213,Malta
15,179,Latvia
15,82,Latvia
15,114,Latvia
15,150,Latvia
15,173,Latvia
15,42,Latvia
15,56,Latvia
15,66,Latvia
15,182,Latvia
15,126,Latvia
15,49,Latvia
15,33,Latvia
15,72,Latvia
15,71,Latvia
15,207,Latvia
15,76,Latvia
15,120,Latvia
15,60,Latvia
15,175,Latvia
15,213,Bosnia and herzegowina
16,19,Mexico
16,4,Mexico
16,116,Mexico
16,205,Mexico
16,145,Mexico
16,11,Mexico
16,161,Mexico
16,32,Mexico
16,50,Mexico
16,137,Mexico
16,41,Mexico
16,94,Mexico
16,151,Mexico
16,14,Mexico
16,26,Mexico
16,180,Mexico
16,198,Mexico
16,65,Mexico
16,127,Mexico
16,178,Mexico
17,19,Brazil
17,4,Brazil
17,116,Brazil
17,205,Brazil
17,145,Brazil
17,11,Brazil
17,161,Brazil
17,32,Brazil
17,50,Brazil
17,137,Brazil
17,41,Brazil
17,94,Brazil
17,151,Brazil
17,14,Brazil
17,26,Brazil
17,180,Brazil
17,198,Brazil
17,65,Brazil
17,127,Brazil
17,178,Brazil
18,19,Kazakhstan
18,4,Kazakhstan
18,116,Kazakhstan
18,205,Kazakhstan
18,145,Kazakhstan
18,11,Kazakhstan
18,161,Kazakhstan
18,32,Kazakhstan
18,50,Kazakhstan
18,137,Kazakhstan
18,41,Kazakhstan
18,94,Kazakhstan
18,151,Kazakhstan
18,14,Kazakhstan
18,26,Kazakhstan
18,180,Kazakhstan
18,198,Kazakhstan
18,65,Kazakhstan
18,127,Kazakhstan
18,178,Kazakhstan
19,19,Usa
19,4,Usa
19,116,Usa
19,205,Usa
19,145,Usa
19,11,Usa
19,161,Usa
19,32,Usa
19,50,Usa
19,137,Usa
19,41,Usa
19,94,Usa
19,151,Usa
19,14,Usa
19,26,Usa
19,180,Usa
19,198,Usa
19,65,Usa
19,127,Usa
19,178,Usa
19,95,Saint kitts and nevis
20,19,Greenland
20,23,Greenland
20,154,Greenland
20,54,Greenland
20,103,Greenland
20,4,Greenland
20,1,Greenland
20,203,Greenland
20,109,Greenland
20,122,Greenland
20,189,Gibraltar
20,72,Greenland
20,61,Greenland
20,33,Greenland
20,140,Greenland
20,39,Greenland
20,146,Greenland
20,200,Greenland
20,5,Greenland
20,108,Greenland
21,19,Israel
21,23,Israel
21,154,Israel
21,54,Israel
21,103,Israel
21,4,Israel
21,1,Israel
21,203,Israel
21,109,Israel
21,122,Israel
21,72,Israel
21,61,Israel
21,22,Israel
21,33,Israel
21,140,Israel
21,39,Israel
21,146,Israel
21,200,Israel
21,5,Israel
21,108,Israel
22,19,Aruba
22,23,Aruba
22,154,Aruba
22,54,Aruba
22,103,Aruba
22,4,Aruba
22,1,Aruba
22,203,Aruba
22,109,Aruba
22,122,Aruba
22,72,Aruba
22,61,Aruba
22,22,Aruba
22,33,Aruba
22,140,Aruba
22,39,Aruba
22,146,Aruba
22,200,Aruba
22,5,Aruba
22,108,Aruba
23,19,Guatemala
23,23,Guatemala
23,154,Guatemala
23,54,Guatemala
23,103,Guatemala
23,4,Guatemala
23,1,Guatemala
23,203,Guatemala
23,109,Guatemala
23,122,Guatemala
23,189,Guatemala
23,72,Guatemala
23,61,Guatemala
23,33,Guatemala
23,140,Guatemala
23,39,Guatemala
23,146,Guatemala
23,200,Guatemala
23,5,Guatemala
23,108,Guatemala
24,29,Egypt
24,40,Egypt
24,211,Egypt
24,52,Egypt
24,129,Egypt
24,166,Egypt
24,93,Egypt
24,78,Egypt
24,17,Egypt
24,147,Egypt
24,14,Egypt
24,71,Egypt
24,202,Egypt
24,37,Egypt
24,68,Yemen
24,94,Egypt
24,151,Egypt
24,156,Egypt
24,133,Egypt
24,73,Yemen
25,29,Bolivia
25,40,Bolivia
25,211,Bolivia
25,52,Bolivia
25,129,Bolivia
25,166,Bolivia
25,93,Bolivia
25,78,Bolivia
25,17,Bolivia
25,1,Bolivia
25,14,Bolivia
25,71,Bolivia
25,202,Bolivia
25,37,Bolivia
25,68,Bolivia
25,94,Bolivia
25,151,Bolivia
25,156,Bolivia
25,133,Bolivia
25,73,Bolivia
26,29,Nigeria
26,40,Nigeria
26,211,Nigeria
26,52,Nigeria
26,129,Nigeria
26,166,Nigeria
26,93,Nigeria
26,78,Nigeria
26,17,Nigeria
26,1,Nigeria
26,14,Nigeria
26,71,Nigeria
26,202,Nigeria
26,37,Nigeria
26,68,Nigeria
26,94,Nigeria
26,151,Nigeria
26,156,Nigeria
26,133,Nigeria
26,73,Nigeria
27,29,Colombia
27,40,Colombia
27,211,Colombia
27,52,Colombia
27,129,Colombia
27,166,Colombia
27,93,Colombia
27,78,Colombia
27,17,Colombia
27,1,Colombia
27,14,Colombia
27,71,Colombia
27,202,Colombia
27,37,Colombia
27,68,Colombia
27,94,Colombia
27,151,Colombia
27,156,Colombia
27,133,Colombia
27,73,Colombia
28,23,Korea
28,114,Korea
28,18,Korea
28,214,Korea
28,188,Korea
28,5,Korea
28,145,Korea
28,150,Korea
28,203,Korea
28,52,Korea
28,189,Korea
28,199,Korea
28,112,Korea
28,180,Korea
28,0,Korea
28,28,Korea
28,26,Korea
28,3,Korea
28,74,Korea
28,21,Korea
29,23,Armenia
29,114,Armenia
29,18,Armenia
29,214,Armenia
29,188,Armenia
29,5,Armenia
29,145,Armenia
29,150,Armenia
29,203,Armenia
29,52,Armenia
29,189,Armenia
29,199,Armenia
29,112,Armenia
29,180,Armenia
29,0,Armenia
29,28,Armenia
29,26,Armenia
29,3,Armenia
29,74,Armenia
29,21,Armenia
30,116,Germany
30,188,Germany
30,211,Germany
30,40,Germany
30,166,Germany
30,119,Germany
30,12,Germany
30,150,Germany
30,169,Germany
30,157,Germany
30,4,Germany
30,12,Germany
30,91,Germany
30,183,Germany
30,62,Germany
30,10,Germany
30,92,Germany
30,28,Germany
30,106,Germany
30,197,Germany
31,116,Thailand
31,188,Thailand
31,211,Thailand
31,40,Thailand
31,166,Thailand
31,119,Thailand
31,12,Thailand
31,150,Thailand
31,169,Thailand
31,157,Thailand
31,4,Thailand
31,12,Thailand
31,91,Thailand
31,183,Thailand
31,62,Thailand
31,10,Thailand
31,92,Thailand
31,204,Thailand
31,106,Thailand
31,197,Thailand
31,41,Thailand
31,20,Thailand
32,116,Switzerland
32,188,Switzerland
32,211,Switzerland
32,40,Switzerland
32,166,Switzerland
32,119,Switzerland
32,12,Switzerland
32,150,Switzerland
32,169,Switzerland
32,157,Switzerland
32,4,Switzerland
32,12,Switzerland
32,91,Switzerland
32,183,Switzerland
32,62,Switzerland
32,10,Switzerland
32,92,Switzerland
32,58,Switzerland
32,106,Switzerland
32,197,Switzerland
32,129,Switzerland
33,116,Liechtenstein
33,188,Liechtenstein
33,211,Liechtenstein
33,40,Liechtenstein
33,166,Liechtenstein
33,119,Liechtenstein
33,12,Liechtenstein
33,150,Liechtenstein
33,169,Liechtenstein
33,157,Liechtenstein
33,4,Liechtenstein
33,12,Liechtenstein
33,91,Liechtenstein
33,183,Liechtenstein
33,10,Liechtenstein
33,62,Liechtenstein
33,92,Liechtenstein
33,28,Liechtenstein
33,106,Liechtenstein
33,197,Liechtenstein
33,178,Liechtenstein
34,116,Italy
34,211,Italy
34,188,Italy
34,13,Italy
34,142,Italy
34,8,Italy
34,122,Italy
34,15,Italy
34,117,Italy
34,139,Italy
34,215,Italy
34,91,Italy
34,172,Italy
34,4,Italy
34,120,Italy
34,183,Italy
34,160,Italy
34,12,Italy
34,217,Italy
35,211,Monaco
35,188,Monaco
35,13,Monaco
35,142,Monaco
35,15,Monaco
35,162,Monaco
35,139,Monaco
35,215,Monaco
35,172,Monaco
35,4,Monaco
35,120,Monaco
35,12,Monaco
35,217,Monaco
35,37,Monaco
