question_ID,worker_ID,answer
0,162,Belgium
0,113,Belgium
0,172,Belgium
0,93,Belgium
0,26,Belgium
1,19,Thailand
1,3,Costa rica
1,150,Costa rica
1,47,Costa rica
1,35,Thailand
2,172,Denmark
2,111,Switzerland
2,150,Denmark
2,162,Denmark
2,113,Denmark
3,35,Haiti
3,133,Haiti
3,111,Haiti
3,93,Haiti
3,172,Haiti
4,130,Hungary
4,19,Hungary
4,162,Hungary
4,26,Hungary
4,100,Hungary
5,79,Monaco
5,19,Monaco
5,18,Indonesia
5,100,Indonesia
5,17,Indonesia
6,100,Ireland
6,49,Ivory coast
6,153,Ireland
6,113,Ireland
6,19,Ireland
7,54,Moldova
7,42,Romania
7,58,Moldova
7,113,Moldova
7,32,Moldova
8,60,New zealand
8,133,New zealand
8,36,New zealand
8,100,New zealand
8,69,New zealand
9,36,Norway
9,161,United states
9,184,Norway
9,172,Norway
9,35,Norway
10,42,Paraguay
10,162,Paraguay
10,136,Paraguay
10,60,Paraguay
10,19,Paraguay
11,94,Mali
11,36,Senegal
11,13,Senegal
11,184,Senegal
11,162,Senegal
12,153,Slovenia
12,173,Slovenia
12,147,Slovenia
12,49,Slovenia
12,61,Slovenia
13,53,Azerbaijan
13,36,Azerbaijan
13,109,Azerbaijan
13,153,Azerbaijan
13,65,Azerbaijan
14,109,Malta
14,49,Malta
14,36,Malta
14,147,Malta
14,133,Malta
15,147,Latvia
15,57,Latvia
15,61,Latvia
15,36,Latvia
15,49,Latvia
16,110,Mexico
16,18,Mexico
16,151,Mexico
16,128,Mexico
16,13,Mexico
17,18,Brazil
17,118,Brazil
17,56,Brazil
17,172,Brazil
17,10,Brazil
18,18,Kazakhstan
18,118,Kazakhstan
18,128,Kazakhstan
18,124,Kazakhstan
18,43,Kazakhstan
19,124,Usa
19,79,Usa
19,13,Usa
19,110,Usa
19,28,Usa
20,3,Greenland
20,120,Greenland
20,29,Greenland
20,88,Greenland
20,1,Greenland
21,61,Israel
21,169,Israel
21,47,Israel
21,29,Israel
21,131,Israel
22,105,Aruba
22,125,Aruba
22,4,Aruba
22,1,Aruba
22,93,Aruba
23,169,Guatemala
23,4,Guatemala
23,159,Guatemala
23,29,Guatemala
23,171,Guatemala
24,111,Egypt
24,67,Egypt
24,26,Egypt
24,13,Egypt
24,140,Egypt
25,67,Bolivia
25,16,Bolivia
25,1,Bolivia
25,13,Bolivia
25,60,Bolivia
26,60,Nigeria
26,34,Nigeria
26,128,Nigeria
26,32,Nigeria
26,178,Nigeria
27,32,Colombia
27,1,Colombia
27,178,Colombia
27,79,Colombia
27,62,Colombia
28,97,Korea
28,0,Korea
28,20,Korea
28,171,Korea
28,21,Korea
29,4,Armenia
29,159,Armenia
29,17,Armenia
29,45,Armenia
29,63,Armenia
30,100,Germany
30,177,Germany
