question_ID,worker_ID,answer
0,88,Belgium
0,24,Belgium
0,98,Belgium
0,53,Belgium
0,154,Belgium
1,3,Costa rica
1,108,Costa rica
1,175,Costa rica
1,68,Costa rica
2,154,Denmark
2,153,Denmark
2,51,Denmark
2,24,Denmark
2,175,Denmark
2,8,Switzerland
3,2,Haiti
3,154,Haiti
3,175,Haiti
3,16,Haiti
3,164,Haiti
4,56,Hungary
4,110,Hungary
4,16,Hungary
4,40,Hungary
4,25,Hungary
5,31,Monaco
5,53,Monaco
5,11,Monaco
5,100,Monaco
5,119,Monaco
6,46,Ivory coast
6,14,Ireland
6,53,Ivory coast
6,8,Ivory coast
7,16,Moldova
7,155,Moldova
7,44,Moldova
8,73,New zealand
8,96,New zealand
8,126,New zealand
8,52,New zealand
8,89,Australia
9,188,Norway
9,162,United states
9,164,Norway
9,170,Norway
9,40,Norway
10,60,Paraguay
10,110,Paraguay
10,52,Paraguay
10,35,Paraguay
10,133,Paraguay
11,52,Senegal
11,89,Mali
11,170,Senegal
11,137,Senegal
11,175,Senegal
12,55,Slovenia
12,46,Slovenia
12,100,Slovenia
12,105,Slovenia
12,50,Slovenia
13,182,Azerbaijan
13,155,Azerbaijan
13,50,Azerbaijan
13,150,Azerbaijan
13,46,Azerbaijan
14,126,Malta
14,50,Malta
14,69,Malta
14,150,Malta
14,40,Malta
15,98,Latvia
15,176,Latvia
15,55,Latvia
15,78,Latvia
15,46,Latvia
16,106,Mexico
16,127,Mexico
16,186,Mexico
16,15,Mexico
16,61,Mexico
17,115,Brazil
17,186,Brazil
17,7,Brazil
17,3,Brazil
17,175,Brazil
18,137,Kazakhstan
18,153,Kazakhstan
18,122,Kazakhstan
18,186,Kazakhstan
18,7,Kazakhstan
19,10,Usa
19,127,Usa
19,137,Usa
19,41,Usa
19,21,Usa
20,3,Greenland
20,89,Greenland
20,123,Greenland
20,160,Gibraltar
20,53,Greenland
21,4,Israel
21,123,Israel
21,32,Israel
21,27,Israel
21,19,Israel
22,15,Aruba
22,130,Aruba
22,18,Aruba
22,3,Aruba
22,118,Aruba
23,171,Guatemala
23,123,Guatemala
23,27,Guatemala
23,15,Guatemala
23,174,Guatemala
24,173,Egypt
24,13,Egypt
24,24,Egypt
24,132,Egypt
24,181,Egypt
25,132,Bolivia
25,66,Bolivia
