question_n;pic_url;gt;gt_conf;v1;v2;v3;v4;v5;v6;v7;v8;v9;v10
1;https://flic.kr/p/SH5AsS;Germany;Belgium;Kazakhstan;Algeria;Belgium;Mauritius;Faroe islands;Germany;Chile;Barbados;Micronesia;Cocos islands
2;https://flic.kr/p/24eHuPD;Thailand;Costa rica;Kuwait;Costa rica;Russian federation;Equatorial guinea;Thailand;Laos;Pitcairn;Macau;Panama;Guinea
3;https://flic.kr/p/SH5Apf;Switzerland;Denmark;Netherlands;Burkina faso;Benin;Hong kong;Trinidad and tobago;Central african rep;Switzerland;Tonga;Czech republic;Denmark
4;https://flic.kr/p/SH5Anw;Liechtenstein;Haiti;Liechtenstein;Portugal;Suriname;Haiti;Yugoslavia;Pakistan;Turkmenistan;Djibouti;Greece;Guadeloupe
5;https://flic.kr/p/SH5An1;Italy;Hungary;Barbados;Monaco;Israel;Azerbaijan;Zambia;Tokelau;Marshall islands;Hungary;Northern mariana islands;Italy
6;https://flic.kr/p/24eHuHg;Monaco;Indonesia;Iraq;New zealand;Finland;Samoa;Monaco;Macau;Mongolia;Indonesia;Ecuador;Suriname
7;https://flic.kr/p/SH5Amj;Ivory coast;Ireland;Ireland;United arab emirates;Tonga;Saint kitts and nevis;Nepal;Mali;Samoa;Aruba;Ivory coast;Germany
8;https://flic.kr/p/24eHuEa;Romania;Moldova;Thailand;Romania;Norfolk island;Gambia;Albania;Moldova;Martinique;Mozambique;Czech republic;Guinea-bissau
9;https://flic.kr/p/SH5Aid;Australia;New zealand;Yugoslavia;Djibouti;Togo;Oman;New zealand;Nepal;Iraq;Burkina faso;Russian federation;Australia
10;https://flic.kr/p/SH5AhS;Iceland;Norway;Cote d`ivoire;Iran;Madagascar;St.pierre;New caledonia;Western sahara;Iceland;Norway;Moldova;Ghana
11;https://flic.kr/p/SH5AhS;Croatia;Paraguay;Puerto rico;Djibouti;Paraguay;Peru;Virgin islands (u.s.);Barbados;Croatia;Iraq;Eritrea;Burundi
12;https://flic.kr/p/24eHuxX;Mali;Senegal;Norfolk island;Algeria;Nicaragua;Ukraine;Tajikistan;Mali;Papua new guinea;Vatican city state;Botswana;Senegal
13;https://flic.kr/p/SH5AfY;Russia;Slovenia;Egypt;Fiji;Benin;Turkey;Western sahara;Poland;Micronesia;Uganda;Slovenia;Russia
14;https://flic.kr/p/SH5Afh;Greece;;Guatemala;Martinique;Liechtenstein;Ghana;Uganda;Armenia;Greece;Mayotte;Switzerland;Suriname
15;https://flic.kr/p/SH5AeL;United kingdom;;Kazakhstan;Mauritius;Martinique;Mozambique;Thailand;Venezuela;Nepal;Belarus;Jamaica;United kingdom
16;https://flic.kr/p/SH5AdU;India;;Pitcairn;India;Hong kong;Faroe islands;Myanmar;Honduras;Bermuda;Mali;Ukraine;Iraq
17;https://flic.kr/p/SH5Add;Canada;;Paraguay;Cook islands;Canada;Tanzania;Honduras;Montserrat;Guinea-bissau;Northern mariana islands;Cape verde;United states
18;https://flic.kr/p/SH5Add;Cuba;;Tunisia;Spain;Saint kitts and nevis;Myanmar;Belize;Cook islands;Sweden;Falkland islands (malvinas);Cuba;Nepal
19;https://flic.kr/p/SH5Abu;Turkey;;Canada;Ireland;Zaire;Uzbekistan;Comoros;Nigeria;Turkey;French guiana;Congo;Netherlands
20;https://flic.kr/p/SH5AaN;Maldives;;Saint kitts and nevis;Faroe islands;Nigeria;Central african rep;Burkina faso;Maldives;Bolivia;Morocco;Swaziland;Brunei darussalam
21;https://flic.kr/p/SH5Aa7;Dominica;;Reunion;St. helena;Liechtenstein;Hungary;Norfolk island;Benin;Cyprus;Kuwait;Dominica;French s. territories
22;https://flic.kr/p/SH5A83;Finland;;Guinea-bissau;Cyprus;Tunisia;Niue;Palau;Benin;Finland;Mozambique;Eritrea;Monaco
23;https://flic.kr/p/SH5A7b;Georgia republic;;Georgia republic;Libya;Italy;Iran;Guinea-bissau;Portugal;Antigua and barbuda;Djibouti;Syrian arab republic;Korea (south)
24;https://flic.kr/p/SH5A5N;Catalonia;;Qatar;Botswana;Philippines;Catalonia;Mayotte;Tuvalu;Estonia;Gabon;Ecuador;Bosnia and herzegowina
25;https://flic.kr/p/SH5A4L;Japan;;Japan;Tuvalu;Malawi;Ghana;China;Vanuatu;Bhutan;Czech republic;Slovenia;Mozambique
26;https://flic.kr/p/SH5A3U;Jamaica;;Gambia;Jamaica;Czech republic;Niger;Tonga;Sierra leone;Chad;Portugal;St vincent/grenadines;Guyana
27;https://flic.kr/p/SH5A33;Philippines;;Guam;Sudan;Virgin islands (british);Cuba;Saint lucia;Spain;Philippines;Bhutan;Cameroon;Pitcairn
28;https://flic.kr/p/SH5A21;France;;French guiana;Djibouti;El salvador;Thailand;Anguilla;Dominican republic;France;Tuvalu;New zealand;Korea (south)
29;https://flic.kr/p/SH5A1E;Estonia;;Norfolk island;Hungary;Vatican city state;St. helena;Palau;Chad;Burkina faso;Angola;Brazil;Estonia
30;https://flic.kr/p/SH5zZC;China;;China;Dominican republic;French s. territories;Israel;Virgin islands (british);Venezuela;Suriname;Vanuatu;Virgin islands (u.s.);Cape verde
