question_ID,worker_ID,answer
0,51,Avocado
0,38,Artichokes
0,75,Artichokes
0,91,Artichokes
0,96,Artichokes
1,102,Dates
1,118,Prunes
1,128,Dates
1,91,Dates
1,82,Dates
2,124,Momos
2,26,Ravioli
2,104,Momos
2,15,Ravioli
2,29,Momos
3,111,Cupcake
3,29,Cupcake
3,15,Muffin
3,31,Cupcake
3,80,Cupcake
4,15,Peaches
4,80,Peaches
4,121,Peaches
4,45,Peaches
4,38,Peaches
5,101,Pancake
5,11,Pancake
5,39,Crêpe
5,56,Crêpe
5,20,Crêpe
6,64,Nut
6,29,Soybeans
6,40,Soybeans
6,56,Nut
6,2,Pea
7,2,Spaghetti
7,121,Spaghetti
7,79,Spaghetti
7,69,Spaghetti
7,29,Spaghetti
8,20,Yams
8,40,Sweet Potatoes
8,121,Yams
8,75,Sweet Potatoes
8,26,Sweet Potatoes
9,12,Cucumber
9,14,Zucchini
9,92,Zucchini
9,60,Cucumber
9,97,Zucchini
10,110,Artichokes
10,7,Artichokes
10,127,Artichokes
10,51,Cardoons
10,56,Avocado
11,115,Dates
11,12,Prunes
11,38,Prunes
11,94,Prunes
11,114,Prunes
12,110,Ravioli
12,56,Tater tots
12,125,Ravioli
12,114,Ravioli
12,12,Ravioli
13,56,Twinkies
13,49,Cupcake
13,99,Cupcake
13,71,Key lime pie
13,7,Cupcake
14,81,Peaches
14,99,Peaches
14,94,Peaches
14,7,Peaches
14,31,Apricot
15,9,Crêpe
15,4,Crêpe
15,19,Pancake
15,37,Crêpe
15,29,Crêpe
16,103,Nut
16,60,Soybeans
16,56,Nut
16,132,Chickpeas
16,115,Chickpeas
17,26,Spaghetti
17,26,Noodles
17,41,Spaghetti
17,88,Spaghetti
17,19,Spaghetti
18,113,Yams
18,44,Yams
18,103,Yams
18,19,Sweet Potatoes
18,110,Yams
19,49,Cucumber
19,76,Cucumber
19,10,Cucumber
19,60,Cucumber
19,12,Cucumber
20,54,Artichokes
20,66,Artichokes
20,89,Artichokes
20,87,Artichokes
20,130,Artichokes
21,70,Dates
21,18,Prunes
21,6,Dates
21,95,Prunes
21,116,Dates
22,87,Momos
22,77,Momos
22,13,Momos
22,62,Ravioli
22,90,Momos
23,1,Muffin
23,35,Muffin
23,17,Cupcake
23,90,Twinkies
23,122,Cupcake
24,72,Nectarines
24,42,Apricot
24,55,Peaches
24,4,Peaches
24,48,Apple
25,87,Pancake
25,89,Pancake
25,8,Pancake
25,54,Pancake
25,68,Pancake
26,47,Soybeans
26,24,Soybeans
26,0,Chickpeas
26,3,Soybeans
26,43,Soybeans
27,36,Goulash
27,95,Spaghetti
27,59,Spaghetti
27,78,Spaghetti
27,116,Spaghetti
28,85,Yams
28,6,Sweet Potatoes
28,129,Sweet Potatoes
28,74,Sweet Potatoes
28,33,Sweet Potatoes
29,0,Zucchini
29,62,Zucchini
29,24,Zucchini
29,47,Zucchini
29,134,Zucchini
30,23,Baklava
30,16,Baklava
30,57,Baklava
30,68,Baklava
30,25,Baklava
31,8,Olives
31,65,Olives
31,119,Olives
31,74,Olives
31,5,Olives
32,25,Paella
32,89,Paella
32,57,Paella
32,23,Barbecue ribs
32,34,Paella
33,33,Steak
33,73,Steak
33,116,Steak
33,87,Steak
33,18,Steak
34,35,Cardoons
34,1,Cardoons
34,27,Cardoons
34,61,Cardoons
34,131,Artichokes
35,101,Prunes
35,119,Prunes
35,131,Prunes
35,13,Prunes
35,46,Prunes
36,90,Ravioli
36,77,Ravioli
36,90,Ravioli
36,23,Ravioli
36,22,Ravioli
37,4,Cupcake
37,48,Cupcake
37,53,Cupcake
37,123,Cupcake
37,84,Cupcake
38,28,Peaches
38,22,Peaches
38,101,Peaches
38,86,Peaches
38,107,Nectarines
39,93,Pancake
39,85,Pancake
39,46,Pancake
39,58,Pancake
39,120,Pancake
40,48,Soybeans
40,55,Chickpeas
40,73,Chickpeas
40,123,Chickpeas
40,84,Chickpeas
41,68,Spaghetti
41,34,Spaghetti
41,35,Spaghetti
41,57,Noodles
41,119,Spaghetti
42,89,Yams
42,54,Yams
42,57,Yams
42,130,Yams
42,65,Yams
43,6,Cucumber
43,18,Cucumber
43,116,Cucumber
43,36,Cucumber
43,129,Cucumber
44,65,Eggplant
44,108,Eggplant
44,126,Eggplant
44,4,Eggplant
44,119,Eggplant
45,74,Lasagna
45,108,Lasagna
45,119,Lasagna
45,126,Lasagna
45,65,Lasagna
46,105,Onion
46,58,Onion
46,70,Onion
46,119,Onion
46,63,Onion
47,65,Baklava
47,5,Buffalo wings
47,4,Baklava
47,108,Burgers
47,8,Baklava
48,46,Artichokes
48,109,Artichokes
48,93,Artichokes
48,32,Cardoons
48,67,Artichokes
49,120,Prunes
49,46,Fennel
49,62,Dates
49,85,Dates
49,32,Prunes
50,119,Ravioli
50,35,Momos
50,23,Ravioli
50,57,Ravioli
50,34,Ravioli
51,47,Muffin
51,30,Muffin
51,133,Muffin
51,62,Muffin
51,63,Muffin
52,47,Peaches
52,72,Nectarines
52,4,Apricot
52,55,Peaches
52,42,Apricot
53,90,Pancake
53,120,Pancake
53,16,Pancake
53,62,Pancake
53,24,Pancake
54,50,Chickpeas
54,1,Chickpeas
54,117,Chickpeas
54,78,Soybeans
54,90,Chickpeas
55,77,Spaghetti
55,24,Spaghetti
55,134,Spaghetti
55,22,Spaghetti
55,16,Spaghetti
56,35,Sweet Potatoes
56,1,Sweet Potatoes
56,86,Sweet Potatoes
56,22,Yams
56,62,Sweet Potatoes
57,65,Cucumber
57,98,Zucchini
57,63,Zucchini
57,24,Zucchini
57,46,Zucchini
58,58,Baklava
58,22,Baklava
58,70,Baklava
58,105,Baklava
58,23,Baklava
59,16,Olives
59,101,Olives
59,107,Olives
59,22,Olives
59,1,Olives
60,85,Paella
60,67,Paella
60,58,Paella
60,93,Paella
60,120,Paella
61,95,Steak
61,116,Steak
61,73,Steak
61,66,Steak
61,59,Steak
62,106,Artichokes
62,83,Artichokes
62,47,Artichokes
62,65,Cardoons
62,100,Cardoons
63,16,Prunes
63,116,Prunes
63,13,Prunes
63,57,Prunes
63,36,Prunes
64,68,Ravioli
64,90,Ravioli
64,119,Ravioli
64,52,Ravioli
64,57,Ravioli
65,87,Cupcake
65,65,Cupcake
65,8,Cupcake
65,57,Cupcake
65,54,Cupcake
66,18,Peaches
66,70,Peaches
66,13,Peaches
66,119,Peaches
66,105,Peaches
67,87,Crêpe
67,68,Pancake
67,100,Pancake
67,21,Pancake
67,98,Crêpe
68,85,Chickpeas
68,106,Nut
68,74,Soybeans
68,73,Chickpeas
68,63,Soybeans
69,28,Spaghetti
69,66,Spaghetti
69,36,Spaghetti
69,70,Noodles
69,73,Spaghetti
70,57,Yams
70,8,Yams
70,34,Sweet Potatoes
70,16,Yams
70,23,Sweet Potatoes
71,89,Cucumber
