question_ID,worker_ID,answer
0,134,Artichokes
0,124,Artichokes
0,86,Artichokes
0,107,Artichokes
0,81,Artichokes
0,97,Artichokes
1,64,Dates
1,47,Dates
1,79,Dates
1,81,Dates
1,84,Dates
1,120,Dates
2,53,Momos
2,37,Momos
2,109,Momos
2,81,Momos
2,79,Momos
3,109,Twinkies
3,46,Cupcake
3,61,Muffin
3,99,Muffin
3,130,Twinkies
4,61,Apricot
4,10,Nectarines
4,28,Peaches
4,39,Peaches
4,54,Peaches
5,60,Crêpe
5,124,Pancake
5,105,Pancake
5,16,Pancake
5,28,Pancake
5,16,Pancake
5,74,Pancake
6,126,Soybeans
6,16,Pea
6,7,Chickpeas
6,46,Nut
6,47,Nut
7,92,Spaghetti
7,26,Spaghetti
7,95,Noodles
7,105,Spaghetti
7,72,Spaghetti
8,7,Yams
8,95,Sweet Potatoes
8,60,Fig
8,39,Sweet Potatoes
8,83,Sweet Potatoes
8,16,Sweet Potatoes
9,123,Cucumber
9,86,Zucchini
9,36,Zucchini
9,100,Zucchini
9,34,Zucchini
9,28,Zucchini
10,38,Cardoons
10,119,Cardoons
10,28,Artichokes
10,105,Cardoons
11,26,Prunes
11,103,Prunes
11,126,Prunes
11,1,Prunes
12,51,Ravioli
12,85,Ravioli
12,119,Ravioli
12,108,Ravioli
12,115,Key lime pie
13,51,Cupcake
13,131,Cupcake
13,108,Cupcake
13,8,Cupcake
13,119,Cupcake
14,103,Peaches
14,105,Peaches
14,133,Peaches
14,60,Apricot
14,115,Peaches
15,15,Crêpe
15,64,Crêpe
15,23,Crêpe
16,118,Chickpeas
16,119,Chickpeas
16,45,Chickpeas
16,12,Chickpeas
16,41,Nut
17,118,Noodles
17,102,Spaghetti
17,4,Noodles
17,126,Spaghetti
17,40,Spaghetti
18,138,Yams
18,30,Yams
18,123,Yams
18,126,Yams
19,13,Cucumber
19,1,Cucumber
19,80,Cucumber
19,9,Cucumber
20,11,Artichokes
20,58,Artichokes
20,68,Artichokes
20,93,Artichokes
20,91,Artichokes
21,76,Dates
21,6,Dates
21,63,Dates
21,35,Dates
22,91,Momos
22,31,Momos
22,94,Momos
22,14,Momos
23,65,Muffin
23,24,Muffin
23,122,Cupcake
23,52,Muffin
24,129,Peaches
24,50,Apple
24,82,Nectarines
24,42,Apricot
24,75,Nectarines
24,106,Peaches
24,20,Peaches
25,69,Crêpe
25,93,Pancake
25,62,Pancake
25,71,Pancake
25,58,Pancake
25,48,Pancake
26,136,Soybeans
26,140,Soybeans
26,0,Chickpeas
26,49,Soybeans
26,3,Soybeans
27,19,Spaghetti
27,82,Spaghetti
27,98,Spaghetti
27,63,Spaghetti
27,21,Spaghetti
28,78,Sweet Potatoes
28,50,Sweet Potatoes
28,89,Yams
28,35,Sweet Potatoes
28,135,Sweet Potatoes
28,32,Sweet Potatoes
29,0,Zucchini
29,139,Zucchini
29,22,Zucchini
29,136,Zucchini
29,33,Zucchini
30,35,Baklava
30,32,Baklava
30,62,Baklava
30,21,Baklava
30,71,Baklava
31,5,Olives
31,132,Olives
31,11,Olives
31,125,Olives
31,4,Olives
31,5,Paella
32,125,Paella
32,32,Paella
32,71,Paella
32,56,Paella
32,94,Paella
33,91,Steak
33,121,Steak
33,111,Steak
33,135,Steak
33,19,Steak
34,122,Artichokes
34,65,Cardoons
34,18,Artichokes
34,94,Cardoons
34,137,Artichokes
35,125,Prunes
35,48,Prunes
35,106,Prunes
35,73,Prunes
35,2,Prunes
35,98,Prunes
36,140,Ravioli
36,31,Ravioli
36,94,Ravioli
36,128,Ravioli
36,21,Ravioli
36,19,Ravioli
37,77,Cupcake
37,57,Cupcake
37,88,Cupcake
37,4,Cupcake
37,59,Cupcake
37,94,Twinkies
38,17,Apricot
38,117,Apricot
38,112,Nectarines
39,2,Pancake
39,88,Pancake
39,89,Pancake
39,70,Pancake
40,59,Chickpeas
40,88,Chickpeas
40,4,Chickpeas
40,57,Chickpeas
40,82,Chickpeas
41,93,Spaghetti
41,71,Spaghetti
41,62,Noodles
41,125,Spaghetti
41,121,Spaghetti
42,69,Sweet Potatoes
42,55,Yams
42,136,Yams
42,91,Yams
43,121,Cucumber
43,35,Cucumber
43,135,Cucumber
43,43,Cucumber
43,19,Cucumber
44,44,Eggplant
44,116,Eggplant
44,132,Eggplant
44,3,Eggplant
44,5,Eggplant
45,78,Lasagna
45,125,Lasagna
45,89,Lasagna
45,11,Lasagna
46,137,Onion
46,14,Onion
46,48,Onion
46,106,Onion
46,67,Onion
47,68,Baklava
47,113,Burgers
47,5,Buffalo wings
47,4,Baklava
47,3,Buffalo wings
48,96,Artichokes
48,70,Artichokes
48,114,Artichokes
48,66,Fig
48,127,Artichokes
48,48,Artichokes
48,87,Artichokes
49,66,Dates
49,29,Prunes
49,137,Dates
49,114,Dates
50,56,Momos
50,94,Momos
50,91,Momos
51,66,Muffin
51,33,Muffin
51,136,Muffin
51,27,Muffin
51,139,Muffin
51,93,Muffin
52,75,Nectarines
52,82,Nectarines
52,77,Peaches
52,4,Apricot
53,66,Pancake
53,14,Pancake
53,94,Pancake
53,22,Pancake
53,17,Pancake
54,122,Chickpeas
54,65,Soybeans
54,52,Chickpeas
54,35,Chickpeas
54,77,Chickpeas
55,128,Spaghetti
55,31,Spaghetti
55,66,Spaghetti
55,94,Spaghetti
55,14,Spaghetti
55,19,Spaghetti
55,69,Spaghetti
56,101,Sweet Potatoes
56,17,Sweet Potatoes
56,90,Sweet Potatoes
56,33,Sweet Potatoes
56,71,Sweet Potatoes
57,68,Cucumber
57,101,Zucchini
57,22,Zucchini
57,104,Zucchini
57,87,Zucchini
58,2,Baklava
58,73,Baklava
58,14,Baklava
58,137,Baklava
58,110,Baklava
59,117,Olives
59,69,Olives
59,101,Raisin
59,20,Olives
59,25,Olives
60,89,Paella
60,29,Paella
60,88,Paella
60,96,Paella
60,66,Paella
61,76,Steak
61,69,Steak
61,35,Steak
61,77,Steak
61,121,Steak
62,101,Cardoons
62,22,Cardoons
62,68,Cardoons
63,121,Prunes
63,35,Prunes
63,93,Prunes
63,62,Prunes
63,71,Prunes
63,31,Prunes
64,21,Ravioli
64,32,Ravioli
64,71,Ravioli
64,125,Ravioli
64,56,Ravioli
64,125,Ravioli
64,21,Ravioli
65,91,Cupcake
65,62,Cupcake
65,55,Cupcake
65,11,Cupcake
66,73,Peaches
66,137,Peaches
66,20,Peaches
66,14,Peaches
66,106,Peaches
66,59,Peaches
67,104,Pancake
67,91,Crêpe
67,68,Pancake
67,71,Pancake
67,22,Pancake
68,6,Soybeans
68,67,Soybeans
68,78,Soybeans
68,24,Soybeans
68,6,Soybeans
69,139,Spaghetti
69,73,Noodles
69,76,Noodles
70,14,Yams
70,93,Yams
70,21,Sweet Potatoes
70,62,Yams
70,20,Yams
71,14,Cucumber
71,62,Cucumber
71,21,Cucumber
71,11,Cucumber
71,71,Cucumber
72,104,Eggplant
72,6,Eggplant
72,68,Eggplant
72,101,Eggplant
72,71,Eggplant
73,17,Lasagna
73,66,Lasagna
73,112,Lasagna
73,101,Lasagna
73,33,Lasagna
74,49,Onion
74,67,Onion
74,139,Fennel
74,22,Fennel
74,140,Onion
75,52,Baklava
75,65,Barbecue ribs
75,33,Chips
75,24,Chips
75,94,Baklava
