question_ID,gold_label
0,Artichokes
1,Dates
2,Momos
3,Muffin
4,Nectarines
5,Pancake
6,Soybeans
7,Spaghetti
8,Sweet Potatoes
9,Zucchini
10,Cardoons
11,Prunes
12,Ravioli
13,Cupcake
14,Peaches
15,Crêpe
16,Chickpeas
17,Noodles
18,Yams
19,Cucumber
20,Artichokes
21,Dates
22,Momos
23,Muffin
24,Nectarines
25,Pancake
26,Soybeans
27,Spaghetti
28,Sweet Potatoes
29,Zucchini
30,Baklava
31,Olives
32,Paella
33,Steak
34,Cardoons
35,Prunes
36,Ravioli
37,Cupcake
38,Peaches
39,Crêpe
40,Chickpeas
41,Noodles
42,Yams
43,Cucumber
44,Eggplant
45,Lasagna
46,Onion
47,Tacos
48,Artichokes
49,Dates
50,Momos
51,Muffin
52,Nectarines
53,Pancake
54,Soybeans
55,Spaghetti
56,Sweet Potatoes
57,Zucchini
58,Baklava
59,Olives
60,Paella
61,Steak
62,Cardoons
63,Prunes
64,Ravioli
65,Cupcake
66,Peaches
67,Crêpe
68,Chickpeas
69,Noodles
70,Yams
71,Cucumber
72,Eggplant
73,Lasagna
74,Onion
75,Tacos
