question_ID,worker_ID,answer
0,139,Artichokes
0,128,Artichokes
0,68,Avocado
0,121,Artichokes
0,105,Artichokes
0,36,Artichokes
0,108,Artichokes
0,87,Artichokes
0,48,Artichokes
0,21,Artichokes
0,39,Artichokes
0,61,Artichokes
0,76,Artichokes
0,19,Artichokes
0,49,Artichokes
0,161,Artichokes
0,141,Fig
0,1,Artichokes
0,12,Artichokes
0,36,Artichokes
0,106,Artichokes
0,81,Artichokes
0,170,Artichokes
0,102,Artichokes
0,110,Artichokes
0,169,Artichokes
0,135,Artichokes
0,50,Artichokes
0,148,Artichokes
0,48,Artichokes
0,68,Cardoons
0,102,Cardoons
1,139,Dates
1,121,Dates
1,105,Dates
1,36,Prunes
1,108,Dates
1,21,Fennel
1,39,Dates
1,61,Dates
1,19,Dates
1,49,Dates
1,161,Dates
1,141,Prunes
1,1,Dates
1,166,Prunes
1,12,Dates
1,36,Dates
1,106,Dates
1,81,Dates
1,170,Dates
1,102,Dates
1,110,Dates
1,135,Dates
1,47,Dates
1,153,Dates
1,81,Dates
2,139,Momos
2,68,Momos
2,121,Momos
2,105,Momos
2,36,Momos
2,87,Momos
2,39,Momos
2,158,Momos
2,33,Ravioli
2,19,Momos
2,49,Momos
2,141,Momos
2,166,Momos
2,12,Momos
2,36,Momos
2,106,Momos
2,81,Momos
2,170,Momos
2,102,Momos
2,110,Momos
2,169,Momos
2,47,Momos
2,36,Momos
2,39,Momos
3,139,Muffin
3,128,Muffin
3,68,Cupcake
3,121,Muffin
3,21,Muffin
3,158,Muffin
3,76,Muffin
3,19,Muffin
3,141,Twinkies
3,1,Muffin
3,166,Twinkies
3,36,Cupcake
3,106,Muffin
3,170,Muffin
3,102,Muffin
3,47,Muffin
3,137,Muffin
3,39,Cupcake
3,174,Muffin
4,139,Nectarines
4,128,Peaches
4,68,Nectarines
4,121,Peaches
4,105,Apple
4,36,Nectarines
4,108,Peaches
4,87,Apple
4,51,Peaches
4,21,Peaches
4,39,Peaches
4,61,Peaches
4,158,Peaches
4,76,Apricot
4,19,Apple
4,49,Peaches
4,161,Peaches
4,141,Apple
4,1,Nectarines
4,166,Peaches
4,12,Nectarines
4,36,Nectarines
4,106,Nectarines
4,170,Apple
4,148,Peaches
4,102,Peaches
4,110,Apple
4,50,Peaches
4,17,Peaches
4,62,Peaches
5,60,Pancake
5,52,Pancake
5,21,Pancake
5,26,Crêpe
5,138,Pancake
5,144,Pancake
5,137,Pancake
5,123,Pancake
5,125,Pancake
5,51,Crêpe
5,39,Pancake
5,61,Pancake
5,33,Pancake
5,76,Pancake
5,75,Crêpe
5,86,Pancake
5,9,Pancake
5,2,Pancake
5,92,Pancake
5,158,Pancake
5,133,Pancake
5,107,Pancake
5,47,Pancake
5,16,Pancake
5,36,Crêpe
5,161,Pancake
5,81,Pancake
5,21,Pancake
5,106,Pancake
5,102,Pancake
5,132,Cornbread
5,140,Pancake
5,21,Pancake
5,152,Pancake
5,25,Pancake
5,157,Crêpe
5,41,Pancake
5,174,Pancake
5,54,Pancake
5,57,Pancake
5,139,Pancake
5,161,Pancake
5,95,Pancake
5,110,Pancake
5,147,Pancake
5,153,Pancake
5,121,Pancake
6,60,Nut
6,52,Soybeans
6,21,Pea
6,26,Peanut
6,138,Peanut
6,144,Soybeans
6,137,Soybeans
6,123,Soybeans
6,125,Soybeans
6,51,Soybeans
6,39,Soybeans
6,61,Nut
6,33,Pea
6,75,Nut
6,86,Nut
6,2,Pea
6,92,Soybeans
6,158,Soybeans
6,133,Soybeans
6,107,Soybeans
6,47,Soybeans
6,36,Soybeans
6,161,Soybeans
6,81,Soybeans
6,21,Soybeans
6,106,Soybeans
6,102,Soybeans
6,129,Nut
6,132,Nut
6,5,Soybeans
6,21,Soybeans
6,81,Soybeans
6,36,Soybeans
7,52,Spaghetti
7,26,Spaghetti
7,138,Spaghetti
7,144,Noodles
7,123,Noodles
7,125,Spaghetti
7,51,Spaghetti
7,39,Noodles
7,61,Spaghetti
7,33,Spaghetti
7,75,Spaghetti
7,86,Spaghetti
7,9,Spaghetti
7,2,Spaghetti
7,92,Spaghetti
7,158,Spaghetti
7,133,Noodles
7,107,Spaghetti
7,47,Spaghetti
7,16,Spaghetti
7,36,Spaghetti
7,161,Spaghetti
7,81,Spaghetti
7,21,Spaghetti
7,106,Spaghetti
