question_ID,worker_ID,answer
0,84,Artichokes
0,60,Artichokes
0,30,Artichokes
0,32,Artichokes
0,127,Artichokes
1,60,Prunes
1,127,Prunes
1,1,Dates
1,84,Dates
1,102,Dates
2,118,Momos
2,46,Ravioli
2,30,Momos
2,16,Momos
2,84,Momos
3,39,Muffin
3,121,Cupcake
3,46,Cupcake
3,83,Cupcake
3,104,Twinkies
4,93,Peaches
4,84,Apple
4,60,Apricot
4,41,Peaches
4,104,Apple
5,30,Crêpe
5,121,Pancake
5,2,Pancake
5,107,Pancake
5,59,Crêpe
6,82,Soybeans
6,59,Nut
6,78,Chickpeas
6,79,Soybeans
6,121,Soybeans
7,39,Spaghetti
7,14,Spaghetti
7,101,Spaghetti
7,64,Spaghetti
7,42,Spaghetti
8,99,Sweet Potatoes
8,30,Sweet Potatoes
8,79,Sweet Potatoes
8,9,Yams
8,118,Yams
9,23,Zucchini
9,17,Zucchini
9,60,Cucumber
9,96,Zucchini
9,27,Cucumber
10,32,Artichokes
10,40,Artichokes
10,10,Artichokes
10,52,Cardoons
10,73,Cardoons
11,1,Prunes
11,100,Prunes
11,59,Fennel
11,111,Dates
11,100,Prunes
12,52,Ravioli
12,30,Momos
12,32,Momos
12,115,Ravioli
12,100,Ravioli
13,100,Cupcake
13,53,Cupcake
13,94,Cupcake
13,125,Cupcake
13,30,Cupcake
14,50,Peaches
14,100,Peaches
14,34,Nectarines
14,30,Peaches
14,76,Peaches
15,121,Pancake
15,73,Pancake
15,123,Crêpe
15,64,Crêpe
15,16,Crêpe
16,2,Chickpeas
16,103,Nut
16,42,Chickpeas
16,64,Soybeans
16,131,Chickpeas
17,52,Spaghetti
17,90,Spaghetti
17,45,Noodles
17,11,Spaghetti
17,115,Spaghetti
18,73,Sweet Potatoes
18,98,Yams
18,110,Yams
18,5,Yams
18,123,Yams
19,100,Cucumber
19,80,Cucumber
19,114,Cucumber
19,13,Cucumber
19,34,Cucumber
20,129,Artichokes
20,68,Artichokes
20,61,Artichokes
20,69,Artichokes
20,57,Artichokes
21,75,Prunes
21,72,Dates
21,74,Dates
21,82,Prunes
21,7,Dates
22,81,Momos
22,20,Ravioli
22,66,Ravioli
22,133,Momos
22,89,Momos
23,130,Muffin
23,122,Cupcake
23,37,Muffin
23,65,Muffin
23,117,Cupcake
24,56,Apple
24,58,Peaches
24,5,Peaches
24,43,Apricot
24,124,Peaches
25,61,Pancake
25,54,Pancake
25,69,Crêpe
25,89,Pancake
25,57,Pancake
26,133,Soybeans
26,129,Soybeans
26,31,Soybeans
26,44,Soybeans
26,48,Soybeans
27,63,Spaghetti
27,7,Spaghetti
27,74,Spaghetti
27,75,Spaghetti
27,38,Goulash
