question_ID,worker_ID,answer
0,107,Fig
0,101,Artichokes
0,89,Artichokes
0,88,Artichokes
0,86,Artichokes
0,114,Artichokes
1,107,Prunes
1,71,Prunes
1,127,Prunes
1,67,Dates
1,62,Prunes
1,13,Prunes
2,71,Momos
2,98,Momos
2,84,Momos
2,27,Momos
2,131,Momos
2,27,Momos
3,53,Cupcake
3,88,Cupcake
3,84,Muffin
3,114,Cupcake
3,130,Cupcake
3,123,Cupcake
3,79,Key lime pie
4,131,Apple
4,123,Peaches
4,9,Nectarines
4,62,Apricot
4,71,Apple
5,87,Pancake
5,62,Pancake
5,47,Pancake
5,15,Pancake
5,106,Pancake
6,12,Chickpeas
6,76,Soybeans
6,105,Peanut
6,18,Peanut
7,121,Spaghetti
7,15,Spaghetti
7,27,Spaghetti
7,27,Spaghetti
7,39,Spaghetti
8,105,Sweet Potatoes
8,83,Sweet Potatoes
8,110,Sweet Potatoes
8,87,Sweet Potatoes
8,2,Sweet Potatoes
8,27,Sweet Potatoes
9,67,Cucumber
9,11,Zucchini
9,37,Cucumber
9,27,Zucchini
9,128,Cucumber
10,51,Cardoons
10,84,Cardoons
10,130,Artichokes
10,132,Artichokes
11,46,Prunes
11,67,Dates
11,1,Prunes
11,79,Prunes
12,132,Ravioli
12,38,Ravioli
12,61,Tater tots
12,53,Ravioli
13,1,Muffin
13,30,Muffin
13,121,Muffin
14,67,Peaches
14,99,Peaches
14,54,Peaches
14,103,Peaches
14,85,Peaches
15,53,Crêpe
15,2,Cornbread
15,39,Crêpe
15,22,Crêpe
15,61,Crêpe
16,117,Chickpeas
16,41,Nut
16,2,Chickpeas
16,120,Chickpeas
16,29,Chickpeas
16,27,Soybeans
17,113,Spaghetti
17,24,Noodles
17,45,Noodles
17,30,Noodles
17,97,Noodles
18,61,Sweet Potatoes
18,120,Yams
18,79,Sweet Potatoes
18,67,Sweet Potatoes
19,123,Cucumber
19,2,Cucumber
19,130,Cucumber
19,35,Zucchini
19,64,Cucumber
20,10,Artichokes
20,55,Artichokes
20,58,Artichokes
20,95,Artichokes
20,133,Artichokes
20,134,Artichokes
21,36,Dates
21,77,Dates
21,7,Dates
21,118,Dates
22,136,Momos
22,32,Momos
22,40,Ravioli
22,94,Momos
23,68,Muffin
23,134,Muffin
23,52,Muffin
23,34,Muffin
24,57,Apple
24,50,Apple
24,42,Apricot
24,80,Nectarines
24,87,Nectarines
25,10,Pancake
25,95,Pancake
25,58,Pancake
25,55,Pancake
25,75,Pancake
26,0,Chickpeas
26,4,Soybeans
26,28,Soybeans
26,136,Soybeans
26,70,Soybeans
27,17,Spaghetti
27,77,Spaghetti
27,66,Spaghetti
27,82,Spaghetti
27,87,Spaghetti
28,50,Sweet Potatoes
28,7,Sweet Potatoes
28,70,Sweet Potatoes
28,82,Sweet Potatoes
28,36,Sweet Potatoes
29,0,Zucchini
29,136,Zucchini
29,69,Zucchini
29,133,Zucchini
29,34,Zucchini
30,33,Baklava
30,23,Baklava
30,14,Baklava
30,75,Baklava
30,63,Baklava
31,111,Olives
31,122,Olives
31,6,Olives
31,129,Olives
31,115,Olives
32,122,Paella
32,21,Barbecue ribs
32,63,Paella
32,33,Paella
32,75,Paella
33,17,Steak
33,78,Steak
33,43,Steak
33,94,Steak
33,109,Steak
34,8,Cardoons
34,34,Cardoons
34,124,Cardoons
34,25,Cardoons
35,105,Prunes
35,70,Prunes
35,14,Prunes
35,122,Prunes
35,108,Prunes
35,100,Prunes
36,69,Ravioli
36,21,Ravioli
36,96,Ravioli
36,20,Ravioli
36,96,Ravioli
36,69,Ravioli
37,126,Cupcake
37,57,Cupcake
37,87,Cupcake
37,59,Cupcake
37,65,Cupcake
37,119,Cupcake
38,116,Apricot
38,16,Apricot
38,8,Peaches
38,20,Peaches
38,105,Peaches
39,65,Pancake
39,74,Pancake
39,48,Pancake
39,91,Pancake
39,69,Pancake
40,82,Chickpeas
40,65,Pea
40,87,Chickpeas
40,49,Pea
40,126,Chickpeas
41,21,Spaghetti
41,63,Noodles
41,34,Spaghetti
41,33,Spaghetti
41,95,Spaghetti
42,33,Sweet Potatoes
42,63,Yams
42,55,Yams
42,10,Yams
42,58,Yams
43,78,Cucumber
43,7,Cucumber
43,82,Cucumber
43,17,Cucumber
43,94,Cucumber
44,10,Eggplant
44,129,Eggplant
44,111,Eggplant
44,56,Eggplant
44,44,Eggplant
45,5,Lasagna
45,92,Lasagna
45,129,Lasagna
45,6,Paella
45,111,Lasagna
46,108,Onion
46,134,Onion
46,70,Onion
46,105,Onion
46,122,Onion
47,56,Baklava
47,5,Baklava
47,44,Burgers
47,122,Buffalo wings
47,111,Burgers
48,112,Artichokes
48,124,Artichokes
48,31,Cardoons
48,60,Artichokes
48,134,Artichokes
49,124,Dates
49,134,Dates
49,92,Dates
49,112,Dates
49,31,Prunes
50,96,Momos
50,21,Ravioli
50,63,Ravioli
50,63,Ravioli
51,136,Muffin
51,70,Muffin
51,133,Muffin
51,49,Muffin
51,28,Muffin
51,75,Muffin
52,126,Peaches
52,80,Nectarines
52,49,Peaches
52,42,Apricot
52,87,Nectarines
53,125,Crêpe
53,14,Pancake
53,96,Pancake
53,96,Pancake
53,40,Pancake
54,8,Chickpeas
54,119,Chickpeas
54,34,Soybeans
54,7,Soybeans
55,20,Spaghetti
55,125,Spaghetti
55,21,Spaghetti
55,136,Spaghetti
55,81,Noodles
55,77,Noodles
56,105,Sweet Potatoes
56,69,Sweet Potatoes
56,3,Sweet Potatoes
56,75,Sweet Potatoes
57,102,Zucchini
57,19,Zucchini
57,48,Zucchini
57,49,Zucchini
57,109,Zucchini
58,122,Baklava
58,21,Baklava
58,17,Baklava
58,14,Baklava
58,105,Baklava
59,26,Olives
59,20,Olives
59,105,Olives
59,93,Olives
59,16,Olives
60,92,Paella
60,31,Paella
60,48,Paella
60,60,Paella
60,65,Paella
61,82,Steak
61,17,Steak
61,73,Steak
61,36,Steak
61,66,Steak
62,109,Artichokes
62,19,Artichokes
62,90,Artichokes
62,48,Artichokes
62,56,Cardoons
63,33,Prunes
63,21,Prunes
63,14,Prunes
63,75,Prunes
63,63,Prunes
64,95,Ravioli
64,75,Ravioli
64,72,Ravioli
64,94,Ravioli
64,34,Momos
64,75,Ravioli
65,94,Cupcake
65,55,Cupcake
65,56,Cupcake
65,63,Cupcake
66,77,Peaches
66,14,Peaches
66,65,Peaches
66,20,Peaches
66,21,Peaches
67,75,Pancake
67,90,Pancake
67,56,Pancake
67,94,Crêpe
67,49,Pancake
68,43,Chickpeas
68,118,Pea
68,82,Chickpeas
68,109,Nut
68,78,Chickpeas
68,52,Chickpeas
69,82,Spaghetti
69,26,Spaghetti
69,135,Spaghetti
69,96,Spaghetti
70,95,Yams
70,14,Yams
70,133,Yams
70,16,Yams
70,116,Yams
70,20,Yams
71,21,Cucumber
71,75,Cucumber
71,33,Cucumber
71,63,Cucumber
71,133,Cucumber
72,75,Eggplant
72,40,Eggplant
72,109,Eggplant
72,104,Eggplant
72,102,Eggplant
73,116,Lasagna
73,69,Lasagna
73,8,Lasagna
73,105,Lasagna
73,34,Lasagna
74,44,Onion
74,28,Onion
74,4,Fennel
74,136,Onion
74,40,Fennel
75,96,Baklava
75,34,Chips
75,87,Chips
75,52,Baklava
75,68,Barbecue ribs
