question_ID,worker_ID,answer
0,81,Artichokes
0,100,Artichokes
0,61,Artichokes
0,83,Artichokes
0,38,Artichokes
1,1,Dates
1,81,Dates
1,47,Prunes
1,134,Dates
1,123,Prunes
2,10,Momos
2,37,Momos
2,35,Momos
2,26,Momos
2,82,Momos
2,90,Momos
2,15,Momos
2,33,Momos
3,126,Cupcake
3,35,Muffin
3,131,Twinkies
3,114,Cupcake
3,85,Cupcake
4,83,Peaches
4,81,Apple
4,80,Peaches
4,126,Peaches
4,14,Peaches
5,103,Pancake
5,61,Pancake
5,95,Pancake
5,29,Pancake
5,42,Pancake
6,123,Soybeans
6,35,Soybeans
6,111,Soybeans
6,23,Pea
7,23,Spaghetti
7,64,Spaghetti
7,123,Spaghetti
7,97,Spaghetti
7,48,Spaghetti
8,68,Sweet Potatoes
8,107,Sweet Potatoes
8,26,Sweet Potatoes
8,39,Sweet Potatoes
8,35,Sweet Potatoes
8,72,Sweet Potatoes
8,21,Sweet Potatoes
9,36,Zucchini
9,44,Cucumber
9,47,Cucumber
9,22,Zucchini
9,9,Cucumber
10,117,Cardoons
10,74,Cardoons
10,114,Artichokes
10,52,Cardoons
10,1,Cardoons
10,125,Cardoons
10,41,Cardoons
10,105,Cardoons
11,29,Dates
11,133,Prunes
11,98,Prunes
11,60,Fennel
11,74,Prunes
12,84,Ravioli
12,118,Ravioli
12,133,Ravioli
12,133,Ravioli
12,106,Ravioli
13,74,Key lime pie
13,133,Cupcake
13,108,Cupcake
13,114,Cupcake
13,98,Cupcake
14,38,Peaches
14,92,Peaches
14,133,Peaches
14,60,Apricot
14,118,Peaches
15,28,Crêpe
15,126,Pancake
15,23,Crêpe
15,129,Crêpe
15,26,Crêpe
15,30,Crêpe
16,23,Chickpeas
16,104,Chickpeas
16,44,Chickpeas
16,19,Chickpeas
16,74,Chickpeas
16,79,Chickpeas
16,88,Chickpeas
16,135,Chickpeas
17,102,Spaghetti
17,29,Spaghetti
17,104,Noodles
17,22,Spaghetti
17,91,Spaghetti
18,54,Sweet Potatoes
18,5,Yams
18,44,Yams
18,119,Yams
18,122,Yams
19,1,Cucumber
19,13,Cucumber
19,14,Cucumber
19,23,Cucumber
20,11,Artichokes
20,93,Artichokes
20,32,Artichokes
20,136,Artichokes
20,58,Artichokes
21,76,Dates
21,34,Dates
21,7,Dates
21,73,Dates
22,128,Momos
22,41,Ravioli
22,66,Ravioli
22,18,Ravioli
23,65,Muffin
23,127,Cupcake
23,24,Muffin
23,8,Muffin
23,94,Twinkies
23,93,Muffin
24,130,Peaches
24,75,Nectarines
24,50,Peaches
24,12,Nectarines
24,5,Peaches
25,72,Pancake
25,55,Pancake
25,70,Crêpe
25,62,Pancake
25,11,Pancake
26,137,Soybeans
26,41,Soybeans
26,136,Soybeans
26,27,Soybeans
26,67,Soybeans
27,12,Spaghetti
27,63,Spaghetti
27,99,Spaghetti
27,18,Spaghetti
27,77,Spaghetti
28,34,Sweet Potatoes
28,77,Sweet Potatoes
28,135,Sweet Potatoes
28,7,Sweet Potatoes
28,31,Sweet Potatoes
29,27,Zucchini
29,136,Zucchini
29,41,Zucchini
29,0,Zucchini
