question_ID,worker_ID,answer
0,5,Skate Kitchen
0,74,Skate Kitchen
0,34,Skate Kitchen
0,40,Skate Kitchen
0,25,Skate Kitchen
1,73,Beautiful Boy
1,2,Beautiful Boy
1,22,Beautiful Boy
1,58,Beautiful Boy
1,16,Beautiful Boy
2,74,Puppet Master: The Littlest Reich
2,27,Puppet Master: The Littlest Reich
2,34,Puppet Master: The Littlest Reich
2,15,Puppet Master: The Littlest Reich
2,5,Puppet Master: The Littlest Reich
3,34,Smallfoot
3,22,Smallfoot
3,101,Smallfoot
3,27,Smallfoot
3,2,Smallfoot
4,41,Upgrade
4,3,Upgrade
4,28,Upgrade
4,101,Upgrade
4,21,Upgrade
5,84,Sink or Swim
5,44,Sink or Swim
5,40,Sink or Swim
5,15,Sink or Swim
5,16,Sink or Swim
6,88,"Love, Simon"
6,84,"Love, Simon"
6,27,"Love, Simon"
6,3,"Love, Simon"
6,28,"Love, Simon"
7,15,Crowhurst
7,73,Crowhurst
7,41,Crowhurst
7,28,Crowhurst
7,25,Crowhurst
8,44,Rough Night
8,82,Rough Night
8,96,Rough Night
8,76,Rough Night
8,16,Rough Night
9,67,Darkest Hour
9,51,Darkest Hour
9,76,Darkest Hour
9,44,Darkest Hour
9,96,Darkest Hour
10,55,Churchill
10,25,Churchill
10,98,Churchill
10,82,Churchill
10,87,Churchill
11,44,Anthropoid
11,73,Anthropoid
11,17,Anthropoid
11,5,Anthropoid
11,2,Anthropoid
12,98,The Jungle Book
12,44,The Jungle Book
12,22,Mowgli: Legend of the Jungle
12,40,Mowgli: Legend of the Jungle
12,5,The Jungle Book
13,41,Batman v Superman: Dawn of Justice
13,40,Batman v Superman: Dawn of Justice
13,70,Batman v Superman: Dawn of Justice
13,15,Batman v Superman: Dawn of Justice
13,98,Batman v Superman: Dawn of Justice
14,8,Zootopia
14,84,Zootopia
14,34,Zootopia
14,22,Zootopia
14,25,Zootopia
15,44,Captain Fantastic
15,98,Captain Fantastic
15,70,Captain Fantastic
15,82,Captain Fantastic
15,67,Captain Fantastic
16,2,Christine
16,98,Christine
16,13,Christine
16,70,Christine
16,88,Kate Plays Christine
17,70,Other People
17,27,Other People
17,15,Other People
17,80,Other People
17,41,Other People
18,54,Coming Through the Rye
18,67,Coming Through the Rye
18,2,Coming Through the Rye
18,82,Coming Through the Rye
18,40,Coming Through the Rye
19,5,Freaks of Nature
19,15,Freaks of Nature
19,73,Freaks of Nature
19,41,Scouts Guide to the Zombie Apocalypse
19,2,Freaks of Nature
20,99,Mission: Impossible – Rogue Nation
20,13,Spectre
20,98,Spectre
20,22,Spectre
20,78,Spectre
21,91,The Martian
21,4,The Martian
21,66,The Martian
21,16,The Martian
21,44,The Martian
22,34,Marguerite
22,91,Marguerite
22,62,Marguerite
22,58,Marguerite
22,7,Marguerite
23,7,The Beauty Inside
23,22,The Beauty Inside
23,98,The Beauty Inside
23,62,The Beauty Inside
23,78,The Beauty Inside
24,3,Moonwalkers
24,34,Moonwalkers
24,23,Moonwalkers
24,95,Moonwalkers
24,46,Moonwalkers
25,58,Labyrinth of Lies
25,36,Labyrinth of Lies
25,94,Labyrinth of Lies
25,54,Labyrinth of Lies
25,66,Labyrinth of Lies
26,1,Friend Request
26,95,Unfriended
26,22,Unfriended
26,87,Unfriended
26,99,Unfriended
