question_ID,worker_ID,answer
0,37,Skate Kitchen
0,106,Skate Kitchen
0,16,Skate Kitchen
0,32,Skate Kitchen
0,71,Skate Kitchen
0,42,Skate Kitchen
1,48,Beautiful Boy
1,71,Beautiful Boy
1,72,Beautiful Boy
1,22,Beautiful Boy
1,32,Beautiful Boy
2,103,Puppet Master: The Littlest Reich
2,32,Puppet Master: The Littlest Reich
2,106,Puppet Master: The Littlest Reich
2,72,Puppet Master: The Littlest Reich
2,8,Puppet Master: The Littlest Reich
2,30,Puppet Master: The Littlest Reich
3,66,Smallfoot
3,48,Smallfoot
3,22,Smallfoot
3,2,Smallfoot
3,78,Smallfoot
4,21,Upgrade
4,87,Upgrade
4,85,Upgrade
4,26,Upgrade
4,23,Upgrade
5,15,Sink or Swim
5,86,Inside Out
5,82,Sink or Swim
5,90,Sink or Swim
5,3,Sink or Swim
6,38,"Love, Simon"
6,3,"Love, Simon"
6,43,"Love, Simon"
6,66,"Love, Simon"
6,86,"Love, Simon"
6,30,"Love, Simon"
7,22,Crowhurst
7,82,Crowhurst
7,66,Crowhurst
7,23,Crowhurst
7,25,Crowhurst
7,26,Crowhurst
8,85,Rough Night
8,16,Rough Night
8,2,Rough Night
8,52,Girls Trip
8,23,Rough Night
9,2,Darkest Hour
9,22,Darkest Hour
9,71,Darkest Hour
9,37,Darkest Hour
9,104,Darkest Hour
10,37,Churchill
10,74,Churchill
10,97,Churchill
10,104,Churchill
10,16,Churchill
11,58,Anthropoid
11,22,Anthropoid
11,37,Anthropoid
11,2,Anthropoid
11,80,Anthropoid
12,32,The Jungle Book
12,80,Mowgli: Legend of the Jungle
12,97,The Jungle Book
12,41,The Jungle Book
12,13,The Jungle Book
12,32,The Jungle Book
13,97,Batman v Superman: Dawn of Justice
13,69,Batman v Superman: Dawn of Justice
13,82,Batman v Superman: Dawn of Justice
13,8,Batman v Superman: Dawn of Justice
13,32,Batman v Superman: Dawn of Justice
14,37,Zootopia
14,22,Zootopia
14,96,Zootopia
14,23,Zootopia
14,82,Zootopia
15,94,Captain Fantastic
15,2,Captain Fantastic
15,39,Captain Fantastic
15,82,Captain Fantastic
15,69,Captain Fantastic
16,66,Christine
16,90,Christine
16,2,Christine
16,23,Christine
16,13,Christine
16,63,Christine
17,25,Other People
17,15,Other People
17,78,Other People
17,66,Other People
17,90,Other People
18,23,Coming Through the Rye
18,98,Coming Through the Rye
18,43,Coming Through the Rye
18,41,Coming Through the Rye
18,90,Coming Through the Rye
18,26,Coming Through the Rye
18,23,Coming Through the Rye
19,85,Freaks of Nature
