question_ID,worker_ID,answer
0,78,Skate Kitchen
0,5,Skate Kitchen
0,16,Skate Kitchen
0,84,Skate Kitchen
0,8,Skate Kitchen
1,40,Beautiful Boy
1,25,Beautiful Boy
1,8,Beautiful Boy
1,16,Beautiful Boy
1,108,Beautiful Boy
2,27,Puppet Master: The Littlest Reich
2,78,Puppet Master: The Littlest Reich
2,23,Puppet Master: The Littlest Reich
2,77,Puppet Master: The Littlest Reich
2,35,Puppet Master: The Littlest Reich
3,16,Smallfoot
3,52,Smallfoot
3,17,Smallfoot
3,2,Smallfoot
3,77,Smallfoot
4,95,Upgrade
4,88,Upgrade
4,41,Upgrade
4,28,Upgrade
4,40,Upgrade
5,40,Sink or Swim
5,47,Sink or Swim
5,3,Sink or Swim
5,106,Sink or Swim
5,92,Sink or Swim
6,88,"Love, Simon"
6,95,"Love, Simon"
6,45,"Love, Simon"
6,17,"Love, Simon"
6,3,"Love, Simon"
7,17,Crowhurst
7,106,Crowhurst
7,45,Crowhurst
7,95,Crowhurst
7,77,Crowhurst
7,88,Crowhurst
7,28,Crowhurst
8,77,Rough Night
8,64,Rough Night
8,80,Rough Night
8,86,Rough Night
8,40,Rough Night
9,77,Darkest Hour
9,56,Darkest Hour
9,71,Darkest Hour
9,5,Darkest Hour
9,18,Darkest Hour
10,101,Churchill
10,16,Churchill
10,64,Churchill
10,80,Churchill
10,102,Churchill
10,12,Churchill
11,64,Anthropoid
11,80,Anthropoid
11,56,Anthropoid
11,100,Anthropoid
11,71,Anthropoid
12,23,Mowgli: Legend of the Jungle
12,35,The Jungle Book
12,25,The Jungle Book
12,88,The Jungle Book
12,5,The Jungle Book
12,14,The Jungle Book
13,25,Batman v Superman: Dawn of Justice
13,62,Batman v Superman: Dawn of Justice
13,77,Batman v Superman: Dawn of Justice
13,74,Batman v Superman: Dawn of Justice
13,35,Batman v Superman: Dawn of Justice
14,35,Zootopia
14,71,Zootopia
14,2,Zootopia
14,23,Zootopia
14,25,Zootopia
15,45,Captain Fantastic
15,71,Captain Fantastic
15,86,Captain Fantastic
15,40,Captain Fantastic
15,8,Captain Fantastic
16,56,Christine
16,84,Christine
16,86,Christine
16,91,Kate Plays Christine
16,41,Christine
16,28,Christine
17,86,Other People
17,41,Other People
17,27,Other People
17,56,Qualcuno volò sul nido del cuculo
17,25,Other People
18,90,Coming Through the Rye
18,40,Coming Through the Rye
18,45,Coming Through the Rye
18,16,Coming Through the Rye
18,2,Coming Through the Rye
18,86,Coming Through the Rye
19,90,Freaks of Nature
19,47,Freaks of Nature
19,86,Freaks of Nature
19,27,Freaks of Nature
19,95,Freaks of Nature
20,23,Spectre
20,64,Spectre
20,82,Spectre
20,7,Spectre
20,102,Spectre
21,88,The Martian
21,62,The Martian
21,102,The Martian
21,90,The Martian
21,86,The Martian
22,3,Marguerite
22,95,Marguerite
22,59,Marguerite
22,88,Marguerite
22,62,Marguerite
23,2,The Beauty Inside
23,95,The Beauty Inside
23,23,The Beauty Inside
23,70,The Beauty Inside
23,14,The Beauty Inside
24,23,Moonwalkers
24,86,Moonwalkers
24,59,Moonwalkers
24,17,Moonwalkers
24,108,Moonwalkers
24,38,Moonwalkers
25,90,Labyrinth of Lies
25,70,Labyrinth of Lies
25,107,Labyrinth of Lies
25,24,Labyrinth of Lies
25,55,Labyrinth of Lies
26,70,Unfriended
26,107,Unfriended
26,74,Unfriended
26,91,Friend Request
26,108,Unfriended
26,0,Unfriended
27,35,This Is Where I Leave You
27,21,This Is Where I Leave You
27,103,This Is Where I Leave You
27,74,This Is Where I Leave You
28,14,Life After Beth
28,103,Life After Beth
28,107,Life After Beth
28,7,Life After Beth
28,29,Life After Beth
29,55,The Equalizer
29,20,The Equalizer
29,107,The Equalizer
29,29,The Equalizer
29,22,The Equalizer
30,82,Hercules
30,90,The Legend of Hercules
30,79,Hercules
30,64,Hercules
30,63,Hercules
30,85,Hercules
30,86,Hercules
31,14,The Machine
31,82,The Machine
31,22,The Machine
31,7,The Machine
