question_n,plot,gt,gt_conf,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10
1,"This movie follows a teenager named Stevie growing up in Los Angeles. He's struggling with his family, including his co-dependent single mom and his abusive older brother, and at school, where his richer friends seem to overlook him. When Stevie befriends a crew of skateboarders, he learns some tough lessons about class, race, and privilege.",Mid90s,Skate Kitchen,Quarto potere,Il tesoro della Sierra Madre,Il pianista,Il caso Spotlight,Memento,Va' e vedi,Mid90s,Skate Kitchen,Vivere,I don't know
2,"Follows the charming yet troubled Ben Burns (Hedges), who returns home to his unsuspecting family one fateful Christmas Eve. Ben's wary mother Holly Burns (Roberts) welcomes her beloved son's return, but soon learns he is still very much in harm's way. During the 24 hours that may change their lives forever, Holly must do everything in her power to avoid the family's downfall.",Ben is Back,Beautiful Boy,Ben is Back,Vite vendute,Beautiful Boy,Le ali della libertà,Ran,Viale del tramonto,I soliti sospetti,La fiamma del peccato,Casinò,I don't know
3,"No Sesame. All Street. THE HAPPYTIME MURDERS is a filthy comedy set in the seedy underbelly of Los Angeles where puppets and humans coexist. Two clashing detectives with a shared secret, one human (Melissa McCarthy) and one puppet, are forced to work together again to solve the brutal murders of the former cast of a beloved classic puppet television show.",The Happytime Murders,Puppet Master: The Littlest Reich,Rebecca - La prima moglie,The Happytime Murders,Apocalypse Now,Logan - The Wolverine,La città incantata,Fanny & Alexander,Il grande Lebowski,Puppet Master: The Littlest Reich,Barry Lyndon,I don't know
4,"It has been sighted 42,000 times in 68 countries. A creature of myth and legend known by several names; Yeti, Sasquatch and the infamous Bigfoot! We've hunted it for years, but what happens when it decides to hunt us? ""Abominable"" centers on a man recovering from a mountain climbing accident, trapped in a remote cabin in the woods, who sees the legendary beast, and must convince someone to believe him, before the monster goes on a bloody rampage.",Abominable,Smallfoot,La passione di Giovanna d'Arco,Il cavaliere oscuro,Smallfoot,V per Vendetta,Abominable,Django Unchained,The Wolf of Wall Street,Il padrino - Parte II,Quinto potere,I don't know
5,"Journalist Eddie Brock is trying to take down Carlton Drake, the notorious and brilliant founder of the Life Foundation. While investigating one of Drake's experiments, Eddie's body merges with the alien Venom -- leaving him with superhuman strength and power. Twisted, dark and fueled by rage, Venom tries to control the new and dangerous abilities that Eddie finds so intoxicating.",Venom,Upgrade,Il mistero del falco,A Beautiful Mind,Upgrade,3 Idiots,Il posto delle fragole,Venom,Il caso Spotlight,Luci della città,Hotel Rwanda,I don't know
6,"A man suffering from a mid-life crisis finds new meaning in his life after joining an all-male, middle-aged, amateur synchronised swimming team.",Swimming with Men,Sink or Swim,The Elephant Man,2001: Odissea nello spazio,Sink or Swim,Il dottor Stranamore - Ovvero: come ho imparato a non preoccuparmi e ad amare la bomba,Fanny & Alexander,Lo squalo,La cosa,Il castello errante di Howl,Swimming with Men,I don't know
7,A high school senior plans on losing his virginity to his girlfriend. Things get complicated when he meets a handsome and charming gay kid from the other side of town who unwittingly sends him on a roller-coaster journey of sexual identity.,Alex Strangelove,"Love, Simon","Love, Simon",Alex Strangelove,"Tre manifesti a Ebbing, Missouri",Tempi moderni,Una tomba per le lucciole,Il mistero del falco,Rebecca - La prima moglie,Psyco,A qualcuno piace caldo,I don't know
8,"The incredible story of Donald Crowhurst , an amateur sailor who competed in the 1968 Sunday Times Golden Globe Race in the hope of becoming the first person in history to single-handedly circumnavigate the globe without stopping. With an unfinished boat and his business and house on the line, Donald leaves his wife, Clare and their children behind, hesitantly embarking on an adventure on his boat the Teignmouth Electron. The story of Crowhurst's dangerous solo voyage and the struggles he confronted on the epic journey while his family awaited his return is one of the most enduring mysteries of recent times.",The Mercy,Crowhurst,American History X,Avengers: Infinity War,Crowhurst,Il ponte sul fiume Kwai,Guerre stellari,The Mercy,Rang De Basanti,Matrix,Toro scatenato,I don't know
9,"Four best friends, the ""Flossy Posse"", have grown distant over the years. When lifestyle guru Ryan Pierce (Regina Hall), who is dubbed ""the next Oprah"", is offered an opportunity to be the keynote speaker at the Essence Music Festival in New Orleans, she decides to bring along her friends to turn her work vacation into a girls' trip. Joining Ryan is Sasha (Queen Latifah), an ex-journalist from Time magazine who now owns a floundering gossip site and is struggling financially; Lisa (Jada Pinkett Smith), a nurse and uptight mom who has not had a boyfriend since her divorce years earlier; and Dina (Tiffany Haddish), a happy-go-lucky, impulsive party animal who was fired after assaulting a coworker shortly before the trip. While on the trip, Sasha is sent a tip that shows a picture of a black man's head kissing an Instagram model, presumed to be Ryan's husband Stewart. The friends are reluctant to tell Ryan, but when Dina spills the news, Ryan shocks them by telling them she is already aware of the situation and that they are in couple's counseling. Nevertheless, when Dina sees Stewart at their hotel, she threatens him with a broken bottle, resulting in her getting ejected and banned from the hotel. In solidarity all the girls leave with her, but the only hotel they are able to get is a sleazy one-star motel frequented by customers of prostitutes..",Girls Trip,Rough Night,Psyco,Heat - La sfida,Girls Trip,Snatch - Lo strappo,Rough Night,I bambini del cielo,Harry Potter e i Doni della Morte - Parte 2,I sette samurai,La fiamma del peccato,I don't know
10,"May/June 1940. Four hundred thousand British and French soldiers are hole up in the French port town of Dunkirk. The only way out is via sea, and the Germans have air superiority, bombing the British soldiers and ships without much opposition. The situation looks dire and, in desperation, Britain sends civilian boats in addition to its hard-pressed Navy to try to evacuate the beleaguered forces. This is that story, seen through the eyes of a soldier amongst those trapped forces, two Royal Air Force fighter pilots, and a group of civilians on their boat, part of the evacuation fleet.",Dunkirk,Darkest Hour,Dunkirk,Darkest Hour,In the Mood for Love,Léon,Memories of Murder,Storie pazzesche,The Departed - Il bene e il male,Dragon Trainer,Il Signore degli Anelli - La compagnia dell'Anello,I don't know
11,"During World War II, as Adolf Hitler's awesomely powerful Wehrmacht rampages across Europe, the Prime Minister of the United Kingdom, Neville Chamberlain, is forced to resign, recommending Winston Churchill as his replacement. But even in his early days as the country's leader, Churchill is under pressure to commence peace negotiations with the German dictator or to fight head-on the seemingly invincible Nazi regime, whatever the cost. However difficult and dangerous his decision may be, Churchill has no choice but to shine in the country's darkest hour.",Darkest Hour,Churchill,La grande fuga,Churchill,La febbre dell'oro,Into the Wild - Nelle terre selvagge,Vincitori e vinti,Rush,Darkest Hour,Dragon Trainer,Aliens - Scontro finale,I don't know
12,"From a disgraced officer of the German Navy dismissed for indecent behavior, the ambitious Reinhard Heydrich who crosses paths with the zealous member of the Nazi Party and his future wife, Lina, sees himself rising through the ranks as Chief of the Main Security Office of the Reich. As the German Fascists expand their borders, scorching Europe from end to end, one brave Slovak and one brave Czech, the newly-enlisted soldiers of the Resistance, Jozef Gabcik and Jan Kubis, prepare for a suicide mission to assassinate Heydrich, Bohemia and Moravia's Reich-Protector. Can they take down the powerful man with the iron heart?",The Man with the Iron Heart,Anthropoid,Luci della città,La bella e la bestia,La grande fuga,Scarface,Quasi amici - Intouchables,Anthropoid,The Man with the Iron Heart,L'odio,Mademoiselle,I don't know
13,"The story follows the upbringing of the human child Mowgli raised by a pack of wolves in the jungles of India. As he learns the often harsh rules of the jungle, under the tutelage of a bear named Baloo and a black panther named Bagheera, Mowgli becomes accepted by the animals of the jungle as one of their own, except for one; the fearsome tiger Shere Khan. But there may be greater dangers lurking in the jungle, as Mowgli comes face to face with his human origins.",Mowgli: Legend of the Jungle,The Jungle Book,Le notti di Cabiria,Full Metal Jacket,Salvate il soldato Ryan,Vivere,Mowgli: Legend of the Jungle,The Jungle Book,Il grande dittatore,L'odio,La battaglia di Hacksaw Ridge,I don't know
14,"With many people fearing the actions of super heroes, the government decides to push for the Hero Registration Act, a law that limits a hero's actions. This results in a division in The Avengers. Iron Man stands with this Act, claiming that their actions must be kept in check otherwise cities will continue to be destroyed, but Captain America feels that saving the world is daring enough and that they cannot rely on the government to protect the world. This escalates into an all-out war between Team Iron Man (Iron Man, Black Panther, Vision, Black Widow, War Machine, and Spider-Man) and Team Captain America (Captain America, Bucky Barnes, Falcon, Scarlet Witch, Hawkeye, and Ant Man) while a new villain emerges.",Captain America: Civil War,Batman v Superman: Dawn of Justice,La parola ai giurati,Batman v Superman: Dawn of Justice,Inception,Jurassic Park,Captain America: Civil War,Viaggio a Tokyo,Il ritorno dello Jedi,Grand Budapest Hotel,Memories of Murder,I don't know
15,"Refusing to forsake the once glorious theatre inherited by his father, slightly delusional and utterly dedicated to his never-ending affection for show business, Buster Moon, the ambitious koala, inevitably finds himself in dire straits watching hopelessly the ticket sales rapidly decline. But is Buster Moon, the greatest showman, as hopeless as he seems? Fortunately, in one of those spur-of-the-moment decisions, the visionary koala's mind will give birth to a simple, yet fantastic idea for a show that no one would be able to resist, and hopefully, save his theatre: a singing competition. Now, every sunny daydreamer in town gets a chance to shine, and as the word of a grand prize spreads like wildfire causing a big commotion in the city, the stage will ultimately be their battlefield. From tiny, yet overconfident and suave alto saxophonists, to heavenly-voiced bashful soloists, anybody can dream big; after all, all creatures great and small are welcome to the Moon Theatre.",Sing,Zootopia,The Prestige,Into the Wild - Nelle terre selvagge,Quarto potere,L'amore bugiardo - Gone Girl,Le ali della libertà,Zootopia,Guerre stellari,Sing,La battaglia di Hacksaw Ridge,I don't know
16,A young girl comes of age in a dysfunctional family of nonconformist nomads with a mother who's an eccentric artist and an alcoholic father who would stir the children's imagination with hope as a distraction to their poverty.,The Glass Castle,Captain Fantastic,Captain Fantastic,Il caso Spotlight,Gangs of Wasseypur,Tempi moderni,La vita è meravigliosa,Hachiko - Il tuo migliore amico,The Glass Castle,Cantando sotto la pioggia,Persona,I don't know
