question_ID,worker_ID,answer
0,12,Al Pacino
0,21,Al Pacino
0,11,Al Pacino
0,20,Al Pacino
0,5,Al Pacino
1,20,Balthazar Getty
1,16,Chuck Norris
1,8,Alan Rickman
1,13,Alan Rickman
1,12,Alan Rickman
2,16,Jessica Alba
2,14,Jessica Alba
2,12,Jessica Alba
2,21,Jessica Alba
2,20,Jessica Alba
3,20,Nicolas Cage
3,8,Michael McDonald
3,13,Nicolas Cage
4,20,Robbie Amell
4,8,Alan Cumming
4,21,Alan Cumming
4,12,Alan Cumming
4,7,Alan Cumming
5,20,Gwen Stefani
5,21,Gwen Stefani
5,16,Gwen Stefani
5,12,Gwen Stefani
5,13,Jessica Simpson
5,2,Gwen Stefani
6,8,Jason Biggs
6,3,Adam Sandler
6,16,Jason Biggs
6,20,Adam Sandler
6,15,Jason Biggs
7,15,Sandra Bullock
7,13,Sandra Bullock
7,16,Sandra Bullock
7,20,Sandra Bullock
7,21,Sandra Bullock
7,9,Sandra Bullock
8,20,Chris Martin
8,21,Tim Allen
8,8,Tim Allen
8,15,Tim Allen
8,14,Tim Allen
9,8,Javier Bardem
9,12,Javier Bardem
9,21,Javier Bardem
9,20,Robert Downey Jr
9,14,Javier Bardem
10,20,Ginnifer Goodwin
10,21,Jennifer Morrison
10,12,Katie Holmes
10,13,Kirsten Dunst
10,18,Katie Holmes
11,8,Krysten Ritter
11,16,Krysten Ritter
11,20,Anne Hathaway
11,11,Liv Taler
12,12,Bob Saget
12,8,Bob Saget
12,15,Bob Saget
12,21,Bob Saget
12,14,Bob Saget
12,17,Bob Saget
13,8,Isla Fisher
13,20,Gwyneth Paltrow
13,14,Isla Fisher
13,15,Isla Fisher
14,20,Kenny G
14,8,Kenny G
14,19,Kenny G
15,15,Kofi Anan
15,13,Morgan Freeman
15,3,Nelson Mandela
15,12,Kofi Anan
16,20,Zach Braff
16,8,Alan Cumming
16,12,Alan Cumming
16,9,Alan Cumming
17,16,Zoë Saldana
17,21,Thandie Newton
17,15,Thandie Newton
18,8,Robert Redford
18,15,Robert Redford
18,20,Brad Pitt
18,13,Brad Pitt
18,21,Robert Redford
19,8,Roselyn Sanchez
19,20,Kim Kardashian
19,3,Kim Kardashian
19,21,Roselyn Sanchez
20,20,Kirstie Alley
20,21,Lauren Conrad
21,14,Hugh Jackman
21,16,Hugh Jackman
21,12,Hugh Jackman
21,3,Hugh Jackman
21,13,Hugh Jackman
22,21,Richard Lewis
22,20,Bob Odenkirk
22,15,Richard Lewis
22,14,Richard Lewis
22,2,Richard Lewis
22,19,Richard Lewis
23,8,Keira Knightley
23,16,Keira Knightley
23,13,Keira Knightley
24,10,Al Pacino
24,17,Al Pacino
24,19,David Naughton
24,0,Paul McCartney
24,8,Al Pacino
25,5,Tom Green
25,6,Tom Green
25,19,Tom Green
25,18,Tom Green
25,0,Tom Green
26,19,Arielle Kebbel
26,7,Arielle Kebbel
26,18,Jessica Alba
26,17,Jessica Alba
26,4,Arielle Kebbel
27,2,Nicolas Cage
27,5,Nicolas Cage
27,6,Nicolas Cage
27,19,Nicolas Cage
27,18,Nicolas Cage
28,0,Paul Reubens
28,17,Robbie Amell
28,5,Alan Cumming
28,19,Paul Reubens
29,5,Brittany Murphy
29,0,Brittany Murphy
29,19,Brittany Murphy
29,6,Brittany Murphy
30,17,Adam Sandler
30,19,Adam Sandler
30,2,Adam Sandler
30,5,Adam Sandler
30,7,Adam Sandler
31,4,Sandra Bullock
31,5,Rosalyn Sanchez
31,0,Rosalyn Sanchez
31,17,Rosalyn Sanchez
32,5,Chuck Norris
32,17,Chuck Norris
32,4,Chuck Norris
32,18,Chuck Norris
32,1,Chuck Norris
33,10,Javier Bardem
33,17,Javier Bardem
33,0,Jeffrey Dean Morgan
33,19,Javier Bardem
33,4,Jeffrey Dean Morgan
34,6,Ginnifer Goodwin
34,5,Kirsten Dunst
34,19,Ginnifer Goodwin
34,0,Ginnifer Goodwin
35,0,Anne Hathaway
35,19,Anne Hathaway
35,2,Anne Hathaway
35,18,Anne Hathaway
35,5,Krysten Ritter
