question_ID,worker_ID,answer
0,12,Al Pacino
0,13,Al Pacino
0,8,Al Pacino
0,20,Al Pacino
0,11,Al Pacino
1,20,Balthazar Getty
1,12,Alan Rickman
1,13,Alan Rickman
1,16,Chuck Norris
1,8,Alan Rickman
2,12,Jessica Alba
2,20,Jessica Alba
2,14,Jessica Alba
2,3,Jessica Alba
2,21,Jessica Alba
3,20,Nicolas Cage
3,8,Michael McDonald
3,13,Nicolas Cage
4,20,Robbie Amell
4,8,Alan Cumming
4,21,Alan Cumming
4,12,Alan Cumming
5,12,Gwen Stefani
5,20,Gwen Stefani
5,16,Gwen Stefani
5,21,Gwen Stefani
5,13,Jessica Simpson
6,16,Jason Biggs
6,3,Adam Sandler
6,14,Jason Biggs
6,8,Jason Biggs
6,15,Jason Biggs
7,15,Sandra Bullock
7,13,Sandra Bullock
7,8,Sandra Bullock
7,12,Sandra Bullock
7,21,Sandra Bullock
8,8,Tim Allen
8,21,Tim Allen
8,13,Chuck Norris
8,14,Tim Allen
8,15,Tim Allen
9,15,Javier Bardem
9,12,Javier Bardem
9,14,Javier Bardem
9,13,Javier Bardem
9,8,Javier Bardem
10,20,Ginnifer Goodwin
10,21,Jennifer Morrison
10,12,Katie Holmes
10,13,Kirsten Dunst
11,16,Krysten Ritter
11,20,Anne Hathaway
11,8,Krysten Ritter
11,13,Anne Hathaway
11,12,Anne Hathaway
12,12,Bob Saget
12,15,Bob Saget
12,14,Bob Saget
12,21,Bob Saget
12,8,Bob Saget
13,14,Isla Fisher
13,21,Isla Fisher
13,20,Gwyneth Paltrow
13,8,Isla Fisher
13,16,Amy Adams
14,20,Kenny G
14,8,Kenny G
14,13,Weird Al. Hair
15,12,Kofi Anan
15,16,Samuel L Jackson
15,13,Morgan Freeman
15,15,Kofi Anan
15,3,Nelson Mandela
16,20,Zach Braff
16,8,Alan Cumming
16,12,Alan Cumming
17,20,Sofia Vergara's
17,16,Zoë Saldana
17,21,Thandie Newton
17,15,Thandie Newton
18,8,Robert Redford
18,16,Robert Redford
18,20,Brad Pitt
18,15,Robert Redford
18,13,Brad Pitt
19,12,Kim Kardashian
19,20,Kim Kardashian
19,16,Nicole Scherzinger
19,21,Roselyn Sanchez
19,8,Roselyn Sanchez
20,20,Kirstie Alley
20,21,Lauren Conrad
20,12,Carmen Electra
21,8,Hugh Jackman
21,11,Hugh Jackman
21,14,Hugh Jackman
21,3,Hugh Jackman
21,20,Patrick Dempsey
22,15,Richard Lewis
22,20,Bob Odenkirk
22,14,Richard Lewis
22,21,Richard Lewis
22,16,Richard Lewis
23,20,Daisy Ridley
23,12,Natalie Portman
23,13,Keira Knightley
23,8,Keira Knightley
23,16,Keira Knightley
24,7,David Naughton
24,0,Paul McCartney
24,19,David Naughton
24,10,Al Pacino
24,5,Al Pacino
25,6,Tom Green
25,18,Tom Green
25,0,Tom Green
25,5,Tom Green
25,19,Tom Green
26,17,Jessica Alba
26,19,Arielle Kebbel
26,7,Arielle Kebbel
26,4,Arielle Kebbel
26,0,Arielle Kebbel
27,1,Nicolas Cage
27,6,Nicolas Cage
27,4,Nicolas Cage
27,17,Nicolas Cage
27,18,Nicolas Cage
28,7,Alan Cumming
28,19,Paul Reubens
28,5,Alan Cumming
28,0,Paul Reubens
28,17,Robbie Amell
29,6,Brittany Murphy
29,19,Brittany Murphy
29,5,Brittany Murphy
29,2,Gwen Stefani
29,17,Brittany Murphy
30,7,Adam Sandler
30,9,Adam Sandler
30,1,Adam Sandler
30,4,Adam Sandler
30,2,Adam Sandler
31,19,Rosalyn Sanchez
31,4,Sandra Bullock
31,9,Sandra Bullock
31,5,Rosalyn Sanchez
31,17,Rosalyn Sanchez
32,0,Chuck Norris
32,7,Chuck Norris
