question_ID,worker_ID,answer
0,12,Al Pacino
0,8,Al Pacino
0,13,Al Pacino
0,16,Al Pacino
0,17,Al Pacino
0,10,Al Pacino
1,13,Alan Rickman
1,21,Alan Rickman
1,20,Balthazar Getty
1,8,Alan Rickman
2,3,Jessica Alba
2,12,Jessica Alba
2,20,Jessica Alba
2,16,Jessica Alba
2,8,Jessica Alba
2,17,Jessica Alba
2,18,Jessica Alba
3,20,Nicolas Cage
3,8,Michael McDonald
3,13,Nicolas Cage
4,20,Robbie Amell
4,8,Alan Cumming
4,21,Alan Cumming
4,12,Alan Cumming
4,5,Alan Cumming
4,7,Alan Cumming
5,12,Gwen Stefani
5,20,Gwen Stefani
5,16,Gwen Stefani
5,13,Jessica Simpson
5,21,Gwen Stefani
5,2,Gwen Stefani
6,14,Jason Biggs
6,15,Jason Biggs
6,20,Adam Sandler
6,8,Jason Biggs
6,16,Jason Biggs
7,13,Sandra Bullock
7,14,Sandra Bullock
7,16,Sandra Bullock
7,11,Sandra Bullock
7,21,Sandra Bullock
7,9,Sandra Bullock
8,14,Tim Allen
8,8,Tim Allen
8,21,Tim Allen
8,20,Chris Martin
8,13,Chuck Norris
9,12,Javier Bardem
9,15,Javier Bardem
9,8,Javier Bardem
9,21,Javier Bardem
9,14,Javier Bardem
10,20,Ginnifer Goodwin
10,21,Jennifer Morrison
10,12,Katie Holmes
10,13,Kirsten Dunst
11,8,Krysten Ritter
11,16,Krysten Ritter
11,21,Krysten Ritter
11,11,Liv Taler
12,14,Bob Saget
12,8,Bob Saget
12,15,Bob Saget
12,21,Bob Saget
12,12,Bob Saget
13,8,Isla Fisher
13,20,Gwyneth Paltrow
13,16,Amy Adams
13,21,Isla Fisher
13,14,Isla Fisher
14,20,Kenny G
14,8,Kenny G
14,13,Weird Al. Hair
14,19,Kenny G
15,20,Morgan Freeman
15,12,Kofi Anan
15,21,Kofi Anan
15,8,Kofi Anan
16,20,Zach Braff
16,8,Alan Cumming
16,12,Alan Cumming
16,7,Alan Cumming
17,20,Sofia Vergara's
17,16,Zoë Saldana
17,21,Thandie Newton
17,15,Thandie Newton
18,20,Brad Pitt
18,8,Robert Redford
18,16,Robert Redford
18,21,Robert Redford
18,15,Robert Redford
19,3,Kim Kardashian
19,20,Kim Kardashian
19,16,Nicole Scherzinger
19,9,Kim Kardashian
19,1,Kim Kardashian
20,20,Kirstie Alley
20,21,Lauren Conrad
20,12,Carmen Electra
21,14,Hugh Jackman
21,13,Hugh Jackman
21,12,Hugh Jackman
21,15,Hugh Jackman
21,8,Hugh Jackman
22,20,Bob Odenkirk
22,21,Richard Lewis
22,15,Richard Lewis
22,14,Richard Lewis
22,16,Richard Lewis
23,8,Keira Knightley
23,20,Daisy Ridley
23,16,Keira Knightley
23,13,Keira Knightley
23,12,Natalie Portman
24,7,David Naughton
24,5,Al Pacino
24,19,David Naughton
24,21,Al Pacino
25,17,Tom Green
25,18,Tom Green
25,19,Tom Green
25,5,Tom Green
25,7,Tom Green
25,16,Chuck Norris
26,19,Arielle Kebbel
26,7,Arielle Kebbel
26,4,Arielle Kebbel
27,4,Nicolas Cage
27,5,Nicolas Cage
27,9,Nicolas Cage
27,1,Nicolas Cage
27,10,Nicolas Cage
28,6,Paul Reubens
28,0,Paul Reubens
28,17,Robbie Amell
29,4,Brittany Murphy
29,19,Brittany Murphy
29,17,Brittany Murphy
29,5,Brittany Murphy
30,9,Adam Sandler
30,17,Adam Sandler
30,0,Adam Sandler
30,4,Adam Sandler
30,6,Adam Sandler
31,19,Rosalyn Sanchez
31,17,Rosalyn Sanchez
31,10,Sandra Bullock
31,0,Rosalyn Sanchez
32,19,Chuck Norris
32,2,Chuck Norris
32,17,Chuck Norris
32,7,Chuck Norris
32,1,Chuck Norris
33,17,Javier Bardem
33,6,Javier Bardem
33,19,Javier Bardem
33,9,Jeffrey Dean Morgan
33,0,Jeffrey Dean Morgan
34,6,Ginnifer Goodwin
34,0,Ginnifer Goodwin
34,4,Ginnifer Goodwin
34,17,Ginnifer Goodwin
34,7,Jennifer Morrison
35,9,Anne Hathaway
35,10,Liv Taler
35,0,Anne Hathaway
35,18,Anne Hathaway
35,2,Anne Hathaway
35,12,Anne Hathaway
36,4,Stephen Colbert
36,6,Stephen Colbert
36,19,Stephen Colbert
36,17,Bob Saget
36,0,Stephen Colbert
37,5,Amy Adams
37,9,Amy Adams
37,17,Amy Adams
37,19,Amy Adams
37,0,Isabelle Carre
38,0,Weird Al. Hair
38,6,Weird Al. Hair
38,5,Henry Cavill
38,7,Weird Al. Hair
39,18,Morgan Freeman
39,7,Morgan Freeman
39,1,Morgan Freeman
39,19,Morgan Freeman
39,2,Morgan Freeman
39,13,Morgan Freeman
40,9,Alan Cumming
40,0,Pee Wee Herman
40,5,Pee Wee Herman
40,4,Pee Wee Herman
41,6,Zoë Saldana
41,5,Zoë Saldana
41,18,Zoë Saldana
41,4,Zoë Saldana
41,19,Zoë Saldana
42,2,Brad Pitt
42,5,Brad Pitt
42,18,Brad Pitt
42,6,Brad Pitt
42,19,Brad Pitt
43,17,Kim Kardashian
43,4,Nicole Scherzinger
43,5,Roselyn Sanchez
43,8,Roselyn Sanchez
43,21,Roselyn Sanchez
44,9,Carmen Electra
44,18,Carmen Electra
44,6,Carmen Electra
44,0,Carmen Electra
44,1,Carmen Electra
45,1,Clint Eastwood
45,10,Clint Eastwood
45,18,Clint Eastwood
45,5,Clint Eastwood
45,19,Clint Eastwood
46,0,Jon Stewart
46,5,Jon Stewart
46,7,Jon Stewart
46,4,Jon Stewart
46,6,Jon Stewart
47,6,Natalie Portman
47,18,Natalie Portman
47,9,Natalie Portman
47,4,Natalie Portman
47,5,Keira Knightley
